Date: 2023/06/19   15:25:59
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,112.5,-0.017,-0.011,1.041,2.4,Auto,0,15.0,
1,112.5,-0.017,-0.011,1.041,2.4,Auto,0,15.0,
2,112.5,-0.016,-0.010,1.036,2.6,Auto,0,15.0,
3,114.7,-0.002,-0.008,1.023,2.6,Auto,0,15.0,
4,115.0,-0.009,-0.014,1.027,2.6,Auto,0,15.0,
5,115.0,-0.009,-0.014,1.027,2.6,Auto,0,15.0,
6,112.2,0.005,-0.033,1.032,2.3,Auto,0,15.0,
7,112.5,-0.012,-0.003,1.035,2.3,Auto,0,15.0,
8,113.8,0.001,-0.004,1.032,2.3,Auto,0,15.0,
9,115.0,-0.028,-0.019,1.036,2.5,Auto,0,15.0,
10,117.8,-0.015,-0.006,1.030,2.5,Auto,0,15.0,
11,117.8,-0.015,-0.006,1.030,2.5,Auto,0,15.0,
12,119.7,0.002,-0.020,1.030,2.5,Auto,0,15.0,
13,120.9,0.002,-0.024,1.037,2.6,Auto,0,15.0,
14,120.9,-0.016,-0.007,1.029,2.6,Auto,0,15.0,
15,122.5,-0.023,-0.016,1.031,2.6,Auto,0,15.0,
16,122.5,-0.023,-0.016,1.031,2.6,Auto,0,15.0,
17,122.5,-0.023,-0.016,1.031,2.5,Auto,0,15.0,
18,117.8,-0.007,-0.023,1.042,2.5,Auto,0,15.0,
19,115.9,-0.012,-0.018,1.035,2.5,Auto,0,15.0,
20,115.9,-0.012,-0.018,1.035,2.5,Auto,0,15.0,
21,115.6,-0.006,-0.014,1.032,2.5,Auto,0,15.0,
22,117.5,-0.004,-0.016,1.040,2.5,Auto,0,15.0,
23,120.9,-0.010,-0.019,1.043,2.5,Auto,0,15.0,
24,120.9,-0.010,-0.019,1.043,2.6,Auto,0,15.0,
25,122.1,-0.020,0.000,1.028,2.6,Auto,0,15.0,
26,125.5,-0.012,-0.009,1.041,2.6,Auto,0,15.0,
27,123.7,-0.057,0.008,1.032,2.6,Auto,0,15.0,
28,123.7,-0.057,0.008,1.032,2.5,Auto,0,15.0,
