Date: 2023/06/19   15:28:13
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,30.1,-0.011,-0.004,1.030,2.6,Auto,0,15.0,
1,32.9,-0.007,-0.009,1.024,2.5,Auto,0,15.0,
2,32.2,0.004,-0.056,1.032,2.5,Auto,0,15.0,
3,31.9,-0.024,-0.018,1.036,2.5,Auto,0,15.0,
4,34.1,-0.030,-0.003,1.036,2.5,Auto,0,15.0,
5,34.4,-0.009,-0.017,1.040,2.5,Auto,0,15.0,
6,34.4,-0.009,-0.017,1.040,2.5,Auto,0,15.0,
7,38.1,-0.007,-0.024,1.019,2.5,Auto,0,15.0,
8,38.1,-0.007,-0.024,1.019,2.5,Auto,0,15.0,
9,39.7,-0.027,-0.006,1.026,2.5,Auto,0,15.0,
10,39.7,-0.027,-0.006,1.026,2.5,Auto,0,15.0,
11,38.8,-0.022,-0.032,1.018,2.5,Auto,0,15.0,
12,41.2,-0.037,-0.028,1.025,2.4,Auto,0,15.0,
13,41.5,-0.030,-0.013,1.034,2.4,Auto,0,15.0,
14,41.5,-0.030,-0.013,1.034,2.4,Auto,0,15.0,
15,42.2,-0.009,-0.016,1.023,2.4,Auto,0,15.0,
16,46.5,0.008,-0.012,1.023,2.3,Auto,0,15.0,
17,47.7,0.002,-0.030,1.029,2.3,Auto,0,15.0,
18,46.5,0.015,-0.037,1.025,2.3,Auto,0,15.0,
19,48.7,0.001,-0.043,1.035,2.3,Auto,0,15.0,
20,52.7,-0.008,-0.004,1.014,2.7,Auto,0,15.0,
21,53.0,-0.024,-0.004,1.036,2.7,Auto,0,15.0,
22,53.0,-0.024,-0.004,1.036,2.7,Auto,0,15.0,
23,54.3,-0.012,-0.008,1.029,2.6,Auto,0,15.0,
24,54.3,-0.012,-0.008,1.029,2.6,Auto,0,15.0,
25,46.5,-0.008,-0.018,1.033,2.6,Auto,0,15.0,
26,52.1,-0.016,-0.021,1.033,2.6,Auto,0,15.0,
27,55.8,-0.025,0.003,1.032,2.4,Auto,0,15.0,
28,55.8,-0.025,0.003,1.032,2.4,Auto,0,15.0,
29,54.9,-0.031,0.020,1.031,2.4,Auto,0,15.0,
30,54.3,-0.039,0.016,1.028,2.4,Auto,0,15.0,
31,54.3,-0.039,0.016,1.028,2.5,Auto,0,15.0,
32,53.6,-0.021,0.018,1.020,2.5,Auto,0,15.0,
33,53.6,-0.021,0.018,1.020,2.5,Auto,0,15.0,
34,49.9,-0.034,0.009,1.035,2.7,Auto,0,15.0,
35,53.6,-0.022,-0.008,1.028,2.7,Auto,0,15.0,
36,53.6,-0.010,-0.013,1.021,2.7,Auto,0,15.0,
37,53.6,-0.010,-0.013,1.021,2.7,Auto,0,15.0,
38,53.6,-0.011,-0.014,1.012,2.4,Auto,0,15.0,
