Date: 2023/07/04   15:12:02
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,7.0,-0.031,-0.014,1.035,2.0,Auto,0,15.0,
1,6.9,-0.016,-0.000,1.045,2.0,Auto,0,15.0,
2,6.9,-0.016,-0.000,1.045,1.9,Auto,0,15.0,
3,7.2,-0.013,0.010,1.037,1.9,Auto,0,15.0,
4,9.2,-0.030,-0.022,1.045,1.9,Auto,0,15.0,
5,9.9,-0.036,-0.023,1.035,1.6,Auto,0,15.0,
6,9.9,-0.036,-0.023,1.035,1.6,Auto,0,15.0,
7,15.1,-0.011,0.026,1.035,1.6,Auto,0,15.0,
8,22.9,-0.014,0.042,1.039,1.6,Auto,0,15.0,
9,28.6,-0.017,0.025,1.038,1.9,Auto,0,15.0,
10,33.4,-0.013,0.016,1.045,1.9,Auto,0,15.0,
11,44.7,-0.008,0.099,1.029,1.9,Auto,0,15.0,
12,44.7,-0.008,0.099,1.029,1.9,Auto,0,15.0,
13,47.3,-0.050,-0.071,1.039,1.9,Auto,0,15.0,
14,47.3,-0.050,-0.071,1.039,1.9,Auto,0,15.0,
15,50.4,-0.018,0.070,1.038,1.9,Auto,0,15.0,
16,56.4,-0.036,0.070,1.045,1.6,Auto,0,15.0,
17,56.4,-0.036,0.070,1.045,1.6,Auto,0,15.0,
18,60.4,-0.035,0.034,1.029,1.6,Auto,0,15.0,
19,66.1,0.034,-0.054,1.031,1.6,Auto,0,15.0,
20,79.8,0.012,-0.013,1.050,1.6,Auto,0,15.0,
21,79.8,0.012,-0.013,1.050,1.6,Auto,0,15.0,
22,83.3,-0.023,-0.011,1.045,1.6,Auto,0,15.0,
23,86.1,-0.021,0.023,1.049,1.8,Auto,0,15.0,
24,87.6,-0.007,0.002,1.043,1.8,Auto,0,15.0,
25,88.8,-0.004,0.021,1.043,1.8,Auto,0,15.0,
26,85.6,-0.011,-0.006,1.024,1.8,Auto,0,15.0,
27,88.2,-0.034,0.002,1.046,1.7,Auto,0,15.0,
28,88.3,-0.044,0.029,1.045,1.7,Auto,0,15.0,
29,90.1,-0.006,0.038,1.058,1.7,Auto,0,15.0,
30,90.1,-0.006,0.038,1.058,1.7,Auto,0,15.0,
31,87.0,-0.054,-0.014,1.163,2.0,Auto,0,15.0,
32,85.3,0.027,0.089,1.175,2.0,Auto,0,15.0,
33,85.3,0.027,0.089,1.175,2.0,Auto,0,15.0,
34,83.8,0.006,0.009,1.152,1.8,Auto,0,15.0,
35,80.3,-0.034,-0.035,1.110,1.8,Auto,0,15.0,
36,80.3,-0.034,-0.035,1.110,1.8,Auto,0,15.0,
37,81.5,-0.058,-0.001,1.108,1.8,Auto,0,15.0,
38,79.6,-0.041,0.007,1.085,3.0,Auto,0,15.0,
39,76.3,-0.049,-0.034,1.088,3.0,Auto,0,15.0,
40,75.9,-0.051,-0.006,1.098,3.0,Auto,0,15.0,
41,75.9,-0.051,-0.006,1.098,2.0,Auto,0,15.0,
42,72.6,-0.028,-0.011,1.061,2.0,Auto,0,15.0,
43,71.5,-0.025,-0.025,1.054,2.0,Auto,0,15.0,
44,67.5,-0.035,-0.008,1.057,2.0,Auto,0,15.0,
45,67.5,-0.035,-0.008,1.057,1.1,Auto,0,15.0,
46,70.8,-0.044,0.011,1.073,1.1,Auto,0,15.0,
47,71.4,0.009,0.005,1.077,1.1,Auto,0,15.0,
48,71.3,0.010,-0.012,1.075,1.1,Auto,0,15.0,
49,70.8,-0.019,-0.018,1.043,0.5,Auto,0,15.0,
50,66.9,-0.071,0.001,1.014,0.5,Auto,0,15.0,
51,66.9,-0.071,0.001,1.014,0.5,Auto,0,15.0,
52,68.5,-0.055,0.003,1.036,0.9,Auto,0,15.0,
53,69.3,-0.001,-0.007,1.076,0.9,Auto,0,15.0,
54,66.3,0.037,-0.005,1.101,0.9,Auto,0,15.0,
55,69.8,0.027,-0.022,1.107,0.9,Auto,0,15.0,
56,69.1,0.012,-0.031,1.114,0.8,Auto,0,15.0,
57,70.2,-0.016,-0.037,1.107,0.8,Auto,0,15.0,
58,69.8,-0.047,-0.044,1.083,0.8,Auto,0,15.0,
59,70.2,-0.031,-0.011,1.040,0.8,Auto,0,15.0,
60,70.2,-0.031,-0.011,1.040,1.1,Auto,0,15.0,
61,71.8,0.022,-0.001,1.009,1.1,Auto,0,15.0,
62,76.3,0.023,0.004,1.020,1.1,Auto,0,15.0,
63,77.1,0.033,0.028,1.043,2.2,Auto,0,15.0,
64,77.1,0.033,0.028,1.043,2.2,Auto,0,15.0,
65,78.6,-0.011,-0.022,1.064,2.2,Auto,0,15.0,
66,78.9,-0.021,-0.048,1.064,2.2,Auto,0,15.0,
67,77.7,-0.020,-0.022,1.059,3.2,Auto,0,15.0,
68,77.7,-0.020,-0.022,1.059,3.2,Auto,0,15.0,
69,78.8,0.012,-0.000,1.037,3.2,Auto,0,15.0,
70,77.7,0.012,-0.018,0.990,3.9,Auto,0,15.0,
71,77.1,-0.028,-0.003,0.967,3.9,Auto,0,15.0,
72,76.8,-0.071,0.015,0.977,3.9,Auto,0,15.0,
73,76.8,-0.071,0.015,0.977,3.9,Auto,0,15.0,
74,75.9,-0.077,-0.059,1.090,4.3,Auto,0,15.0,
75,75.9,-0.077,-0.059,1.090,4.3,Auto,0,15.0,
76,75.9,-0.077,-0.059,1.090,4.3,Auto,0,15.0,
77,74.8,0.012,-0.069,1.024,4.3,Auto,0,15.0,
78,74.8,0.012,-0.069,1.024,4.3,Auto,0,15.0,
79,73.0,0.048,-0.074,0.986,4.3,Auto,0,15.0,
80,73.0,0.048,-0.074,0.986,4.3,Auto,0,15.0,
81,72.9,0.007,0.017,0.875,4.7,Auto,0,15.0,
82,72.9,0.007,0.017,0.875,4.7,Auto,0,15.0,
83,69.6,-0.038,0.068,0.809,4.7,Auto,0,15.0,
84,71.3,-0.051,0.049,0.821,4.7,Auto,0,15.0,
85,71.3,-0.051,0.049,0.821,5.1,Auto,0,15.0,
86,72.1,-0.080,0.029,0.893,5.1,Auto,0,15.0,
87,72.1,-0.080,0.029,0.893,5.1,Auto,0,15.0,
88,72.1,-0.080,0.029,0.893,5.1,Auto,0,15.0,
89,71.4,-0.021,0.003,0.902,4.4,Auto,0,15.0,
90,71.8,0.037,-0.006,0.945,4.4,Auto,0,15.0,
91,71.8,0.037,-0.006,0.945,4.4,Auto,0,15.0,
92,72.6,0.041,0.002,0.937,4.2,Auto,0,15.0,
93,71.5,0.009,-0.013,0.988,4.2,Auto,0,15.0,
94,72.3,-0.011,-0.005,1.013,4.2,Auto,0,15.0,
95,72.3,-0.011,-0.005,1.013,4.2,Auto,0,15.0,
96,72.6,-0.030,-0.021,1.040,4.7,Auto,0,15.0,
97,74.1,-0.055,-0.037,1.095,4.7,Auto,0,15.0,
98,75.0,-0.010,-0.060,1.137,4.7,Auto,0,15.0,
99,75.0,-0.010,-0.060,1.137,4.7,Auto,0,15.0,
100,71.0,0.002,-0.097,1.168,4.3,Auto,0,15.0,
101,72.8,-0.001,-0.080,1.149,4.3,Auto,0,15.0,
102,69.5,0.007,-0.070,1.103,4.3,Auto,0,15.0,
103,69.5,0.007,-0.070,1.103,4.1,Auto,0,15.0,
104,69.5,0.007,-0.070,1.103,4.1,Auto,0,15.0,
105,66.6,-0.005,-0.036,1.049,4.1,Auto,0,15.0,
106,67.5,0.004,-0.020,1.021,4.1,Auto,0,15.0,
107,67.5,0.004,-0.020,1.021,4.4,Auto,0,15.0,
108,68.4,-0.027,-0.008,1.064,4.4,Auto,0,15.0,
109,68.4,-0.027,-0.008,1.064,4.4,Auto,0,15.0,
110,65.3,-0.009,-0.042,1.095,4.5,Auto,0,15.0,
111,65.3,-0.009,-0.042,1.095,4.5,Auto,0,15.0,
