Date: 2023/07/04   15:08:47
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,53.3,-0.015,0.032,1.043,1.6,Auto,0,15.0,
1,54.1,-0.029,0.019,1.041,1.6,Auto,0,15.0,
2,55.0,-0.037,-0.012,1.052,1.6,Auto,0,15.0,
3,55.0,-0.037,-0.012,1.052,1.6,Auto,0,15.0,
4,58.5,-0.041,-0.010,1.042,1.6,Auto,0,15.0,
5,62.4,-0.019,0.014,1.035,1.5,Auto,0,15.0,
6,61.5,-0.013,0.031,1.036,1.5,Auto,0,15.0,
7,61.5,-0.013,0.031,1.036,1.5,Auto,0,15.0,
8,62.4,-0.014,0.022,1.045,1.5,Auto,0,15.0,
9,62.7,-0.016,0.051,1.038,1.5,Auto,0,15.0,
10,61.3,-0.002,0.052,1.048,1.5,Auto,0,15.0,
11,59.4,-0.009,0.054,1.039,1.5,Auto,0,15.0,
12,54.3,-0.007,0.061,1.041,1.6,Auto,0,15.0,
13,54.8,-0.010,0.014,1.057,1.6,Auto,0,15.0,
14,51.1,-0.037,0.015,1.039,1.6,Auto,0,15.0,
15,50.3,-0.012,0.032,1.045,1.4,Auto,0,15.0,
16,50.3,-0.012,0.032,1.045,1.4,Auto,0,15.0,
17,46.2,-0.021,0.031,1.039,1.4,Auto,0,15.0,
18,46.2,-0.021,0.031,1.039,1.4,Auto,0,15.0,
19,38.9,-0.007,0.046,1.042,1.8,Auto,0,15.0,
20,35.5,-0.009,0.039,1.038,1.8,Auto,0,15.0,
21,34.9,-0.014,0.035,1.041,1.8,Auto,0,15.0,
22,34.9,-0.014,0.035,1.041,1.8,Auto,0,15.0,
23,32.1,-0.021,0.016,1.034,1.5,Auto,0,15.0,
24,27.8,-0.013,0.003,1.029,1.5,Auto,0,15.0,
25,23.3,-0.018,0.002,1.041,1.5,Auto,0,15.0,
26,23.3,-0.018,0.002,1.041,1.5,Auto,0,15.0,
27,22.5,-0.024,0.011,1.047,1.5,Auto,0,15.0,
28,17.1,-0.026,0.007,1.048,1.5,Auto,0,15.0,
29,14.3,-0.016,0.007,1.042,1.5,Auto,0,15.0,
30,14.3,-0.016,0.007,1.042,1.4,Auto,0,15.0,
31,8.4,-0.015,0.015,1.044,1.4,Auto,0,15.0,
32,5.4,-0.018,0.031,1.045,1.4,Auto,0,15.0,
33,3.8,-0.004,0.026,1.026,1.4,Auto,0,15.0,
34,3.8,-0.004,0.026,1.026,1.6,Auto,0,15.0,
35,1.2,-0.016,0.017,1.044,1.6,Auto,0,15.0,
36,1.2,-0.016,0.017,1.044,1.6,Auto,0,15.0,
37,3.1,-0.022,0.038,1.052,1.7,Auto,0,15.0,
38,3.1,-0.022,0.038,1.052,1.7,Auto,0,15.0,
39,-1.6,-0.023,0.008,1.041,1.7,Auto,0,15.0,
40,-1.6,-0.023,0.008,1.041,1.7,Auto,0,15.0,
41,3.0,-0.022,0.042,1.036,1.5,Auto,0,15.0,
42,1.5,-0.002,0.031,1.040,1.5,Auto,0,15.0,
43,1.5,-0.002,0.031,1.040,1.5,Auto,0,15.0,
44,1.9,-0.027,0.049,1.031,1.4,Auto,0,15.0,
45,1.2,-0.021,0.067,1.043,1.4,Auto,0,15.0,
46,-2.7,-0.021,0.046,1.035,1.4,Auto,0,15.0,
47,2.7,-0.012,0.046,1.039,1.4,Auto,0,15.0,
48,2.7,-0.012,0.046,1.039,1.6,Auto,0,15.0,
49,3.8,0.002,0.054,1.032,1.6,Auto,0,15.0,
50,5.1,0.007,0.029,1.033,1.6,Auto,0,15.0,
51,5.1,0.007,0.029,1.033,1.6,Auto,0,15.0,
52,14.7,-0.005,0.056,1.043,1.7,Auto,0,15.0,
53,14.7,-0.005,0.056,1.043,1.7,Auto,0,15.0,
54,16.1,-0.012,0.065,1.046,1.7,Auto,0,15.0,
55,23.3,-0.018,0.040,1.046,1.8,Auto,0,15.0,
56,23.3,-0.018,0.040,1.046,1.8,Auto,0,15.0,
57,26.1,-0.020,0.031,1.047,1.8,Auto,0,15.0,
58,27.6,-0.005,0.023,1.040,1.8,Auto,0,15.0,
59,33.4,-0.010,0.036,1.043,1.6,Auto,0,15.0,
60,36.0,-0.018,0.036,1.043,1.6,Auto,0,15.0,
61,36.0,-0.018,0.036,1.043,1.6,Auto,0,15.0,
62,42.8,0.082,0.132,1.042,1.6,Auto,0,15.0,
63,47.1,0.016,0.017,1.044,1.7,Auto,0,15.0,
64,47.9,-0.051,0.036,1.040,1.7,Auto,0,15.0,
65,47.9,-0.051,0.036,1.040,1.7,Auto,0,15.0,
66,46.6,-0.048,-0.059,1.031,1.6,Auto,0,15.0,
67,52.5,-0.038,0.024,1.035,1.6,Auto,0,15.0,
68,52.5,-0.038,0.024,1.035,1.6,Auto,0,15.0,
69,52.5,-0.038,0.024,1.035,1.6,Auto,0,15.0,
70,51.9,-0.028,0.009,1.055,1.8,Auto,0,15.0,
71,54.4,-0.019,0.002,1.026,1.8,Auto,0,15.0,
72,55.6,-0.017,-0.010,1.043,1.8,Auto,0,15.0,
73,55.6,-0.017,-0.010,1.043,1.7,Auto,0,15.0,
