Date: 2023/06/19   17:39:30
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,121.5,-0.036,-0.005,1.032,2.5,Auto,0,15.0,
1,119.3,-0.018,0.002,1.027,2.5,Auto,0,15.0,
2,119.3,-0.018,0.002,1.027,2.5,Auto,0,15.0,
3,118.1,-0.026,0.007,1.031,2.6,Auto,0,15.0,
4,112.8,-0.022,0.009,1.028,2.6,Auto,0,15.0,
5,107.9,-0.009,0.002,1.027,2.6,Auto,0,15.0,
6,106.3,-0.020,0.010,1.029,2.4,Auto,0,15.0,
7,104.5,0.001,-0.014,1.032,2.4,Auto,0,15.0,
8,104.5,0.001,-0.014,1.032,2.4,Auto,0,15.0,
9,116.3,-0.009,-0.014,1.031,2.4,Auto,0,15.0,
10,116.9,-0.028,0.010,1.027,2.5,Auto,0,15.0,
11,116.3,-0.016,0.003,1.037,2.5,Auto,0,15.0,
12,115.6,-0.013,-0.000,1.022,2.5,Auto,0,15.0,
13,110.4,-0.020,0.010,1.032,2.6,Auto,0,15.0,
14,109.1,-0.015,0.000,1.030,2.6,Auto,0,15.0,
15,107.3,-0.026,0.007,1.036,2.6,Auto,0,15.0,
16,108.2,-0.017,0.001,1.021,2.6,Auto,0,15.0,
17,107.6,-0.018,0.004,1.029,2.6,Auto,0,15.0,
18,103.2,-0.043,-0.020,1.029,2.6,Auto,0,15.0,
19,102.6,-0.024,0.000,1.028,2.6,Auto,0,15.0,
20,100.1,0.009,0.020,1.011,2.6,Auto,0,15.0,
21,100.1,0.009,0.020,1.011,2.5,Auto,0,15.0,
22,102.6,-0.001,0.025,1.020,2.5,Auto,0,15.0,
23,102.6,0.001,0.051,1.008,2.5,Auto,0,15.0,
24,103.8,-0.005,0.023,1.021,2.6,Auto,0,15.0,
25,103.8,-0.005,0.023,1.021,2.6,Auto,0,15.0,
26,108.2,-0.030,0.005,1.032,2.6,Auto,0,15.0,
27,111.3,-0.032,-0.014,1.028,2.6,Auto,0,15.0,
28,112.8,-0.010,0.023,1.026,2.6,Auto,0,15.0,
29,112.8,-0.010,0.023,1.026,2.6,Auto,0,15.0,
30,114.7,-0.027,0.001,1.027,2.6,Auto,0,15.0,
31,116.3,-0.012,0.009,1.029,2.6,Auto,0,15.0,
32,116.3,-0.012,0.009,1.029,2.6,Auto,0,15.0,
33,119.0,-0.022,0.007,1.026,2.6,Auto,0,15.0,
34,119.0,-0.022,0.007,1.026,2.6,Auto,0,15.0,
35,118.4,-0.019,0.010,1.036,2.6,Auto,0,15.0,
36,117.5,-0.017,-0.006,1.025,2.6,Auto,0,15.0,
37,118.1,-0.009,0.001,1.027,2.6,Auto,0,15.0,
38,124.0,-0.013,0.002,1.016,2.6,Auto,0,15.0,
39,124.0,-0.013,0.002,1.016,2.7,Auto,0,15.0,
40,132.1,-0.021,0.012,1.028,2.7,Auto,0,15.0,
41,135.2,-0.021,0.014,1.027,2.7,Auto,0,15.0,
42,131.1,-0.021,0.015,1.029,2.7,Auto,0,15.0,
43,131.1,-0.021,0.015,1.029,2.7,Auto,0,15.0,
44,125.9,-0.016,0.000,1.033,2.7,Auto,0,15.0,
45,122.5,-0.013,-0.010,1.026,2.7,Auto,0,15.0,
46,123.1,-0.020,0.033,1.034,2.7,Auto,0,15.0,
47,123.1,-0.020,0.033,1.034,2.7,Auto,0,15.0,
48,124.3,-0.029,0.015,1.032,2.7,Auto,0,15.0,
49,126.2,-0.012,0.011,1.027,2.7,Auto,0,15.0,
50,124.9,0.001,-0.010,1.029,2.8,Auto,0,15.0,
51,128.7,-0.009,-0.015,1.025,2.8,Auto,0,15.0,
52,132.7,-0.010,-0.008,1.027,2.8,Auto,0,15.0,
53,145.1,-0.013,0.007,1.012,2.8,Auto,0,15.0,
54,149.4,-0.031,0.030,1.024,2.7,Auto,0,15.0,
55,151.9,-0.027,0.014,1.028,2.7,Auto,0,15.0,
56,151.9,-0.027,0.014,1.028,2.7,Auto,0,15.0,
57,152.8,-0.018,0.007,1.030,2.5,Auto,0,15.0,
58,154.4,-0.022,0.003,1.028,2.5,Auto,0,15.0,
59,160.9,-0.010,0.002,1.027,2.5,Auto,0,15.0,
60,160.9,-0.010,0.002,1.027,2.5,Auto,0,15.0,
61,165.8,0.043,-0.010,1.034,2.7,Auto,0,15.0,
62,162.1,-0.046,-0.043,1.028,2.7,Auto,0,15.0,
63,161.8,-0.063,-0.017,1.031,2.7,Auto,0,15.0,
64,161.8,-0.063,-0.017,1.031,2.7,Auto,0,15.0,
65,164.9,0.016,-0.037,1.042,2.7,Auto,0,15.0,
66,167.1,0.011,-0.001,1.177,2.7,Auto,0,15.0,
67,175.5,-0.031,0.001,1.170,2.7,Auto,0,15.0,
68,175.8,-0.067,0.010,1.105,2.2,Auto,0,15.0,
69,175.8,-0.067,0.010,1.105,2.2,Auto,0,15.0,
70,170.8,-0.103,0.031,1.097,2.2,Auto,0,15.0,
71,170.8,-0.103,0.031,1.097,2.2,Auto,0,15.0,
72,170.8,-0.103,0.031,1.097,3.4,Auto,0,15.0,
73,165.2,-0.053,0.014,1.098,3.4,Auto,0,15.0,
