Date: 2023/06/19   17:38:46
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,67.6,-0.023,-0.018,1.026,2.5,Auto,0,15.0,
1,67.3,-0.015,0.023,1.024,2.5,Auto,0,15.0,
2,68.2,-0.014,0.008,1.021,2.5,Auto,0,15.0,
3,65.1,-0.021,0.010,1.019,2.5,Auto,0,15.0,
4,65.1,-0.021,0.010,1.019,2.5,Auto,0,15.0,
5,64.2,-0.010,0.010,1.031,2.5,Auto,0,15.0,
6,64.2,-0.010,0.010,1.031,2.5,Auto,0,15.0,
7,58.0,-0.019,0.002,1.036,2.5,Auto,0,15.0,
8,58.0,-0.019,0.002,1.036,2.5,Auto,0,15.0,
9,63.2,-0.020,-0.001,1.027,2.5,Auto,0,15.0,
10,65.1,-0.027,0.015,1.020,2.5,Auto,0,15.0,
11,62.9,-0.027,-0.001,1.026,2.5,Auto,0,15.0,
12,64.8,-0.019,0.008,1.035,2.5,Auto,0,15.0,
13,63.5,-0.019,0.001,1.029,2.5,Auto,0,15.0,
14,63.9,-0.017,0.007,1.029,2.5,Auto,0,15.0,
15,61.7,-0.027,0.002,1.022,2.4,Auto,0,15.0,
16,59.2,-0.020,0.002,1.034,2.4,Auto,0,15.0,
17,60.1,-0.025,0.008,1.029,2.4,Auto,0,15.0,
18,59.2,-0.008,0.004,1.030,2.4,Auto,0,15.0,
19,59.5,-0.044,0.024,1.025,2.6,Auto,0,15.0,
20,58.6,-0.037,0.015,1.036,2.6,Auto,0,15.0,
21,58.6,-0.037,0.015,1.036,2.6,Auto,0,15.0,
22,58.0,-0.003,-0.007,1.011,2.6,Auto,0,15.0,
23,50.5,-0.005,-0.013,1.028,2.4,Auto,0,15.0,
24,51.1,-0.025,-0.012,1.023,2.4,Auto,0,15.0,
25,51.1,-0.025,-0.012,1.023,2.4,Auto,0,15.0,
26,53.0,-0.024,-0.001,1.022,2.6,Auto,0,15.0,
27,54.6,-0.030,0.001,1.027,2.6,Auto,0,15.0,
28,54.6,-0.030,0.001,1.027,2.6,Auto,0,15.0,
29,54.6,-0.030,0.001,1.027,2.6,Auto,0,15.0,
30,53.6,-0.001,0.010,1.018,2.7,Auto,0,15.0,
31,53.6,-0.006,-0.015,1.030,2.7,Auto,0,15.0,
32,52.1,0.007,-0.036,1.029,2.7,Auto,0,15.0,
33,52.1,0.007,-0.036,1.029,2.7,Auto,0,15.0,
34,53.0,-0.009,0.007,1.036,2.5,Auto,0,15.0,
35,53.0,-0.009,0.007,1.036,2.5,Auto,0,15.0,
36,58.0,-0.009,0.002,1.028,2.5,Auto,0,15.0,
37,58.0,-0.009,0.002,1.028,2.7,Auto,0,15.0,
38,60.1,-0.016,0.007,1.024,2.7,Auto,0,15.0,
39,61.4,-0.029,0.019,1.031,2.7,Auto,0,15.0,
40,61.4,-0.029,0.019,1.031,2.7,Auto,0,15.0,
41,58.3,-0.016,0.007,1.030,2.7,Auto,0,15.0,
42,60.5,0.004,-0.002,1.029,2.7,Auto,0,15.0,
43,63.2,0.003,-0.018,1.034,2.7,Auto,0,15.0,
44,63.2,0.003,-0.018,1.034,2.7,Auto,0,15.0,
45,66.7,-0.012,-0.003,1.027,2.9,Auto,0,15.0,
46,70.7,-0.019,0.021,1.034,2.9,Auto,0,15.0,
47,71.3,-0.022,0.008,1.038,2.9,Auto,0,15.0,
48,67.6,-0.028,0.005,1.029,2.8,Auto,0,15.0,
