Date: 2023/12/11   09:10:59,,,,,,,,,,,,
Time,Grip Force_rd1(g),Height_rd1(cm),Grip Force_rd2(g),Height_rd2(cm),Grip Force_rd3(g),Height_rd3(cm),Grip Force_rd4(g),Height_rd4(cm),Grip Force_rd5(g),Height_rd5(cm),Grip Force_rd6(g),Height_rd6(cm)
869,321,13.7,190.7,1.8,114.9,3.2,99.5,4.4,344.4,4,408.4,9.5
870,320.3,13.7,191.5,2,113.5,3.2,99.5,4.5,344.6,4,414.6,9.5
871,315.6,14.1,191.5,2,113.5,3.2,99.5,4.5,344.1,4,423,9.1
872,309.8,14.1,190.5,2,116.5,3.8,101.5,4.5,343.6,4,423,9.1
873,309.8,14.1,191.1,2,118.2,3.8,101.5,4.5,342.9,3.8,442.8,9.1
874,309.6,14.1,189.3,2.5,119.4,3.8,99.1,4.5,341.3,3.8,442.8,9.1
875,303.4,14.2,189.3,2.5,119.4,3.8,99.1,4.5,341.3,3.8,463.9,9.1
876,300.4,14.2,187,2.5,121,3.7,101.4,4.5,340.1,4,463.9,9.1
877,300.4,14.2,187.7,2.5,122.8,3.7,103.8,4.5,340.9,4,476.5,9.1
878,292.2,14.9,183.9,2.2,122.8,3.7,101.4,4.8,342.1,4,476.5,9.6
879,288.4,14.9,183.9,2.2,122.8,4.1,101.4,4.8,342.1,4,489.3,9.6
880,287.1,14.9,180.9,2.2,123.4,4.1,107,4.8,342.1,4,489.3,9.6
881,287.1,14.9,180.9,2.4,123.4,4.1,109,5.4,346.8,4,497.4,9.6
882,284.4,15.5,180,2.4,123,4.1,111.8,5.4,346.1,4,502,9.7
883,284.4,15.5,180.9,2.4,120.9,3.8,111.8,5.4,346.1,4,505.9,9.7
884,280.9,15.5,180.9,2.4,121.8,3.8,112.6,5.4,347.3,4.2,519.4,9.7
885,280.9,15.5,181.8,2.3,123.4,3.8,112.6,5.6,345.4,4.2,528.9,9.6
886,282.3,15.8,181.8,2.3,123.4,3.8,111.6,5.6,347.4,4.2,542.7,9.6
887,279.4,15.8,180.9,2.3,122.1,4.1,111.6,5.6,347.4,4.8,551.7,9.6
888,278.6,15.8,180.9,2.3,122.1,4.1,110.4,5.6,348,4.8,572.3,9.6
889,274.2,16.5,180.2,2.1,125.8,4.1,110.4,6.2,348.9,4.8,579.1,9.7
890,274.2,16.5,179.7,2.1,127.8,4.3,116.7,6.2,352.8,4.8,579.1,9.7
891,269.8,16.5,180.9,2.1,125.7,4.3,116.7,6.2,352.8,4.9,591.1,9.7
892,269.8,16.5,180.6,2.5,130.3,4.3,124.3,6.7,349.6,4.9,595.5,9.7
893,268.9,16.7,179.5,2.5,131.8,4.3,124.3,6.7,349.6,4.9,601.8,9.7
894,270.8,16.7,179.5,2.5,131.5,4.5,126.6,6.7,346.2,4.9,601.8,9.7
895,270.8,16.7,179.1,2.5,131.5,4.5,126.8,6.7,346.2,4.9,604.5,9.7
896,270.1,16.7,177.8,2.3,131.8,4.5,126,6.3,344.8,4.9,620.9,10.5
897,269.7,16.9,178.3,2.3,129.9,4.5,126,6.3,345,4.9,631.6,10.5
898,266.8,16.9,178.3,2.3,129.9,4.8,121.6,6.3,344.6,5.4,631.6,10.5
899,265.8,16.9,178.5,2.3,128.8,4.8,120.8,6.3,344.6,5.4,637,10.5
900,264.6,17.3,178.3,2.6,126.9,4.8,123.3,6.7,342.8,5.4,649.9,10.9
901,263.8,17.3,177.8,2.6,126.1,4.7,123.3,6.7,342.1,5.4,656.1,10.9
902,263.3,17.3,177.8,2.6,126.1,4.7,123.9,6.7,339.1,5.3,670.2,10.9
903,266.4,17.3,177,2.3,125.4,4.7,129.6,7,339.1,5.3,670.2,10.9
904,266.4,15.8,175,2.3,121.9,4.7,129.6,7,336.9,5.3,696.6,11.2
905,230.7,15.8,174.4,2.3,121.6,5.1,130.7,7,338.6,5.3,696.6,11.2
906,242.5,15.8,174.4,2.3,121.6,5.1,130.5,7,338.6,5.4,696.6,11.2
907,240.9,15.8,175.2,5.4,123.6,5.1,130.5,7.1,338.6,5.4,696.6,11.5
908,268.6,16.8,176.3,5.4,122.8,5.1,129.6,7.1,336,5.4,706.9,11.5
909,277.5,16.8,175.9,5.4,122.7,5.3,129.6,7.1,336,5.7,711.3,11.5
910,274.8,16.8,175.9,5.4,122.7,5.3,130.7,7.1,329.8,5.7,712.9,11.5
911,273,16.8,176.7,4.8,121,5.3,135.6,7.4,329.8,5.7,712.9,12
912,273,16.8,172.9,4.8,121.5,5.7,135.6,7.4,328.5,5.7,704.9,12
913,278.8,16.8,170.1,4.8,122.4,5.7,137.8,7.4,325.3,6,704.9,12
914,294.1,16.8,170.1,5.3,122.4,5.7,137.8,7.9,325.3,6,695.4,12
915,301.5,16.5,169.2,5.3,122.1,5.7,137.4,7.9,326.7,6,695.4,12.5
916,301.5,16.5,169.2,5.3,121.2,5.8,137.5,7.9,323.6,6,687.8,12.5
917,312.6,16.5,166.8,5.3,121.2,5.8,138.8,7.9,319.2,5.6,687.8,12.5
918,321.1,16.5,166.8,4,118.6,5.8,138.6,8.1,319.2,5.6,683.3,13
919,350.3,16.6,170.3,4,118.6,5.8,143.5,8.1,317.3,5.6,683.3,13
920,350.3,16.6,168.9,4,119.8,5.3,143.5,8.1,316.8,6,677.1,13
921,364.3,16.6,166.5,4,119.7,5.3,147.4,8.1,314.6,6,677.1,13
922,409.9,16.6,167.3,3.9,118.8,5.3,146.4,8.2,312.4,6,675,13.5
923,437.8,16.6,167.3,3.9,118.8,6.8,151.9,8.2,309.1,6,673.5,13.5
924,437.8,16.6,162.6,3.9,117.3,6.8,151.9,8.2,309.1,6.5,669.6,13.5
925,511.3,16.6,160.3,4.1,117.3,6.8,153,8.6,309.9,6.5,669.6,13.5
926,542.3,16.5,163.2,4.1,118.9,6.8,154.8,8.6,309.9,6.5,662.5,13.6
927,569.5,16.5,163.2,4.1,118.9,7.1,160.3,8.6,311.4,6.5,656.3,13.6
928,578.1,16.5,163.7,4.1,121.8,7.1,160.3,8.6,311.6,5.6,649.5,13.6
929,591.1,16.5,163.7,4.2,121.8,7.1,170.7,8.5,311.6,5.6,647.1,14
930,591.1,16.2,164.1,4.2,123.4,7.1,170.7,8.5,311.6,5.6,646.4,14
931,632.3,16.2,164.1,4.2,121.8,7.2,180.9,8.5,310.1,6.9,651.3,14
932,644.3,16.2,163.7,4.2,124.2,7.2,180.9,8.5,310.1,6.9,656.1,14
933,649.9,16.6,161.8,5.2,124.2,7.2,180.9,9.8,308.7,6.9,655,14.2
934,676.6,16.6,161.5,5.2,123,7.9,194.8,9.8,308.7,6.9,657.1,14.2
935,694.6,16.6,161.5,5.2,124.5,7.9,201.9,9.8,311.8,7.2,654.3,14.2
936,725.3,16.6,159.4,6.4,124.5,7.9,201.9,10.7,313.5,7.2,654.4,14.2
937,751.9,16.6,158.7,6.4,124.5,7.9,208.8,10.7,316.3,7.2,651,14.2
938,750,16.6,156.9,6.4,125.4,8.3,222.2,10.7,316.3,7.2,650.7,14.2
939,750,16.6,156.3,6.4,125.7,8.3,239.8,10.7,315.9,7.3,650.7,14.2
940,747.9,16.6,154.5,6.3,128.8,8.3,239.8,10.8,315.6,7.3,643.6,14.9
941,740.5,16.7,154.5,6.3,128.8,8.3,252.4,10.8,315.3,7.3,643.6,14.9
942,737.4,16.7,156.9,6.3,130,8.4,257.8,10.8,313.2,7.7,624.1,14.9
943,737.4,16.7,158.1,6.3,132,8.4,273.9,10.8,313.2,7.7,624.1,14.9
944,736.9,17,157.8,6.2,132.8,8.4,273.9,11.3,313.5,7.7,620.1,15.1
945,743.7,17,157.8,6.2,132.8,8.8,300.1,11.3,312.9,7.7,620.1,15.1
946,744.6,17,157.3,6.2,132.8,8.8,309.9,11.3,313.9,8.1,618.8,15.1
947,744.6,17,157.2,6.4,132.8,8.8,320.3,12,314.7,8.1,616.2,15.1
948,736.5,17.2,157.7,6.4,132.2,8.8,320.3,12,314.7,8.1,616.2,15.4
949,731.7,17.2,157.7,6.4,132.2,8.3,327.6,12,319.1,8.1,613.2,15.4
950,710.4,17.2,156.3,6.4,132.9,8.3,333.4,12,321,8.8,609.9,15.4
951,710.4,17.2,156.8,6.7,136.8,8.3,333.4,11.9,321,8.8,607.4,7.1
952,669.6,17.6,154.8,6.7,136.5,8.3,336,11.9,321.3,8.8,607.4,7.1
953,669.6,17.6,151.3,6.7,136.9,8.9,336,11.9,321.3,9.2,606.9,7.1
954,655.5,17.6,151.3,6.7,136.9,8.9,352.2,11.9,318,9.2,606.9,7.1
955,655.5,17.9,152.7,7,141.8,8.9,352.2,12.5,318,9.2,600.9,0
956,648.9,17.9,152.7,7,141.8,9.4,353.4,12.5,321.3,9.2,600.9,0
957,645,17.9,153.6,7,142.8,9.4,353.4,12.5,321.3,9.4,589.9,0
958,639.6,17.9,157,7,146.8,9.4,361.1,12.3,323.4,9.4,582.3,0
959,633,17.9,157.3,7,151.8,9.4,364.5,12.3,323.4,9.4,578.3,4.6
960,624,17.9,156.8,7,151.8,9.2,365.3,12.3,322.9,9.4,578.3,4.6
961,624,17.9,154.8,7,159.4,9.2,361.5,12.3,322.9,9.8,574.4,4.6
962,614.4,17.9,156.9,7,159.4,9.2,361.5,12.5,322.1,9.8,576.8,5.9
963,614.4,18.6,156.9,7,162,9.2,355.1,12.5,319.2,9.8,574.5,5.9
964,594.8,18.6,156.8,7,162,9.4,349.9,12.5,316.8,9.7,576.8,5.9
965,594.8,18.6,156.8,7,161.5,9.4,347.3,12.5,316.8,9.7,576,5.9
966,592.5,18.6,156.8,7.2,161.5,9.4,359.7,12.7,315.9,9.7,573.8,16.3
967,588,18.6,158.4,7.2,164.4,9.1,359.7,12.7,315.8,9.7,570.1,16.3
968,581.3,18.6,158.4,7.2,164.4,9.1,363,12.7,315.8,10.4,570.1,16.3
969,582.9,18.6,157,7.3,162.2,9.1,372.4,13.3,315.8,10.4,498.6,16.3
970,573.4,18.6,159.4,7.3,163.9,9.1,371.6,13.3,318.9,10.4,526.8,17
971,574.4,18.6,159.4,7.3,164.4,9.5,371.6,13.3,318.8,10.4,550,17
972,568.8,18.6,160.9,7.3,164.3,9.5,368.4,13.3,317.6,10.4,550,17
973,568.8,18.6,161.7,7.6,166.9,9.5,359.4,13,317.6,10.4,579.9,17.8
974,560.5,19.3,162.6,7.6,166.9,9.5,357.6,13,314.8,10.4,579.9,17.8
975,544.4,19.3,166.2,7.6,172,9.2,357.6,13,313.9,10.7,540.1,17.8
976,541.2,19.3,166.2,7.6,172,9.2,356.6,13,315,10.7,558.8,17.8
977,534.9,19.8,167.5,8.3,176.4,9.2,361.8,13.5,315,10.7,558.8,17.1
978,534.9,19.8,168,8.3,178.3,9.3,364.2,13.5,313.5,10.7,678.6,17.1
979,526.5,19.8,168,8.3,178.8,9.3,365.3,13.5,315.6,10.9,678.6,17.1
980,526.5,19.8,166.5,9.7,178.8,9.3,365.3,13.7,315.4,10.9,693.4,17.1
981,515.5,20.3,165.3,9.7,177.9,9.3,363,13.7,315.4,10.9,693.4,17.8
982,515.5,20.3,165.6,9.7,176.5,9.7,352.2,13.7,314.3,10.9,749.1,17.8
983,510,20.3,167.5,9.7,176.4,9.7,352.2,13.7,314.3,11,778.4,17.8
984,500.3,20.3,166,10.4,177.8,9.7,349.6,14.1,311.3,11,876.4,17.3
985,495.6,19.8,169.8,10.4,177.8,9.7,346.6,14.1,311.3,11,876.4,17.3
986,495.6,19.8,169.8,10.4,179.8,9.9,347.7,14.1,312.6,11.6,946.6,17.3
987,494.1,19.8,168.9,10.4,182.5,9.9,347.7,14.1,314.8,11.6,946.6,17.3
988,487.9,20.4,166.9,11.5,182.5,9.9,350.7,14,314.8,11.6,1059.9,17.2
989,487.3,20.4,168.4,11.5,183.6,9.1,354,14,316.6,11.6,1059.9,17.2
990,487.3,20.4,168.4,11.5,182.5,9.1,355.5,14,317.4,11.7,1110.6,17.2
991,477.1,20.4,168.2,11.8,181,9.1,352.6,14.2,320.6,11.7,1110.6,17.2
992,477.1,20.7,168.2,11.8,179.3,9.1,354.3,14.2,320.6,11.7,1129.5,17.6
993,480.6,20.7,169,11.8,179.3,9.5,350.7,14.2,321.4,11.7,1170.6,17.6
994,480.6,20.7,169.7,11.8,176.5,9.5,350.7,14.2,321.4,11.9,1296.9,17.6
995,484.5,20.7,169,12.9,176.5,9.5,349.1,14.6,322.5,11.9,1296.9,17.5
996,484.5,21,168.9,12.9,176.5,9.5,351.6,14.6,322.5,11.9,1353,17.5
997,480.4,21,168.9,12.9,175.3,9.5,357.4,14.6,323.7,12.4,1401.5,17.5
998,479.4,21,167.4,12.9,170.1,9.5,357.4,14.6,324,12.4,1412.5,17.5
999,479.4,21.4,167.4,12.7,170.1,9.5,364.2,14.9,324.1,12.4,1412.5,17
1000,473.1,21.4,166.5,12.7,167.8,9.1,364.2,14.9,324.1,12.4,1398.8,17
1001,473.1,21.4,166.5,12.7,167.1,9.1,365.6,14.9,324.1,12.3,1401,17
1002,473.1,21.4,167.5,12.9,165.9,9.1,365.6,14.7,328.1,12.3,1401,17
1003,472.6,22,167.5,12.9,163.9,9.1,364.2,14.7,331.2,12.3,1417.3,17.9
1004,468.6,22,168.2,12.9,159.3,10.2,365.4,14.7,331.2,12.3,1419.9,17.9
1005,468.6,22,168.2,12.9,159.3,10.2,365.7,14.7,333.4,12.2,1469.3,17.9
1006,463.9,22,167.3,13.1,156.2,10.2,365.7,15.1,337.5,12.2,1495.6,18.1
1007,457.1,21.4,167.3,13.1,156.2,10.2,365.7,15.1,344.1,12.2,1495.6,18.1
1008,457.1,21.4,166,13.1,151,9.2,370.3,15.1,344.1,12.8,1527.6,18.1
1009,451.9,21.4,167.1,13.1,150.9,9.2,375.9,15.1,352.9,12.8,1546.6,18.1
1010,448.5,22.1,166.3,14.7,147.8,9.2,375.9,15.2,353.8,12.8,1572.1,18.3
1011,437.7,22.1,165.8,14.7,147.8,10.3,378.1,15.2,354.9,12.8,1572.1,18.3
1012,437.4,22.1,164.8,14.7,147.8,10.3,380.7,15.2,354.9,12.7,1542.5,18.3
1013,437.4,22.1,164.5,15,150.9,10.3,382.3,14.6,355.3,12.7,1542.5,18.3
1014,432.4,21.8,164.8,15,150.9,10.3,382.3,14.6,361.2,12.7,1528.2,18.2
1015,424.1,21.8,165.2,15,149.4,9.3,380.3,14.6,361.2,12.7,1528.2,18.2
1016,417.8,21.8,166.2,15,147.8,9.3,377.8,14.6,362.8,12.7,1538.4,18.2
1017,417.8,21.8,167.1,15.2,147.8,9.3,382.1,3.6,362.8,12.7,1534,18.5
1018,405.6,21.8,166.3,15.2,145.9,9.3,382.1,3.6,377.1,12.7,1534,18.5
1019,399.6,21.8,166.3,15.2,145.9,10.6,394.9,3.6,377.1,12.9,1534,18.5
1020,391.1,21.8,164.4,15.2,148.5,10.6,394.9,3.6,377.1,12.9,1552.8,18.5
1021,391.1,22.4,164.4,15.5,148.5,10.6,395.7,14.7,380.1,12.9,1563.5,18.3
1022,388.5,22.4,165.2,15.5,148.8,10.5,395.7,14.7,383.1,12.9,1563.5,18.3
1023,378.4,22.4,165.2,15.5,149.3,10.5,401.1,14.7,389.4,13,1564.5,18.3
1024,376.5,22.4,164.5,21.8,149.3,10.5,396.4,15.4,405.4,13,1545.5,18.3
1025,376.5,22.8,164.4,21.8,150.3,10.5,396.6,15.4,416.8,13,1505.8,19
1026,372.9,22.8,164.4,21.8,150.3,10.7,397.5,15.4,434.6,13,1505.8,19
1027,362.7,22.8,161.8,21.8,148.9,10.7,397.5,15.4,446.3,13.2,1493.7,19
1028,357.8,22.8,161.8,24.3,150.3,10.7,415.9,15.5,456.8,13.2,1467.6,19.1
1029,353.8,23,164.3,24.3,152.7,10.7,415.9,15.5,482.5,13.2,1437.3,19.1
1030,353.8,23,163.5,24.3,152.7,11.5,436.9,15.5,495.4,13.5,1437.3,19.1
1031,343.1,23,160.7,24.3,151.3,11.5,387.1,15.5,495.4,13.5,1413.9,19.1
1032,343.1,23.4,160.7,19.1,153.6,11.5,381.4,16.1,512.1,13.5,1413.9,19.1
1033,343.1,23.4,161.3,19.1,153,12,400.5,16.1,558.9,13.5,1387.5,19.1
1034,341.4,23.4,161.3,19.1,153,12,452.3,16.1,572.3,13.6,1387.5,19.1
1035,341.4,23.4,161.3,23.7,152.1,12,452.3,16.2,572.3,13.6,1377.8,19.1
1036,341.3,23.7,155.3,23.7,152.1,12,462.9,16.2,587.5,13.6,1372.3,19.4
1037,340.5,23.7,159.4,23.7,157,12,462.9,16.2,604.4,13.6,1378.3,19.4
1038,337.2,23.7,156.9,23.7,157,12,493.2,16.2,611.1,13.5,1378.3,19.4
1039,337.2,23.7,163,24.3,157.9,12,493.2,15.9,611.1,13.5,1367.1,19.6
1040,333.6,23.8,167.8,24.3,157.9,12,746.3,15.9,622.2,13.5,1367.1,19.6
1041,333,23.8,171.8,24.3,157.8,12.5,746.3,15.9,643.4,13.6,1348.3,19.6
1042,332.1,23.8,180.8,24.3,157.8,12.5,870.4,15.9,652.4,13.6,1346.4,19.6
1043,333.8,24.2,199.8,23.7,158.4,12.5,968.1,16.5,652.4,13.6,1342,19.9
1044,331.1,24.2,225.8,23.7,158.4,12.8,1036.2,16.5,657.9,13.6,1334.8,19.9
1045,331.9,24.2,255,23.7,160,12.8,1036.2,16.5,662.1,13.9,1331.4,19.9
1046,328.1,24.2,255,23.5,160,12.8,1148.4,16.3,667.9,13.9,1331.4,19.9
1047,333.9,24.2,290.8,23.5,158.4,12.8,1312.6,16.3,667.9,13.9,1337.4,20.4
1048,333.9,24.2,377.3,23.5,159,12.8,1342.3,16.3,678,13.9,1337,20.4
1049,333.8,24.2,462.9,23.5,159,12.8,1342.3,16.3,678,14.1,1329.6,20.4
1050,337.6,24.2,462.9,23.4,159.8,12.8,1404,16.2,678.9,14.1,1322.8,20.3
1051,336.1,24.5,534.6,23.4,160.5,12.8,1587.1,16.2,678.9,14.1,1322.8,20.3
1052,333.8,24.5,801,23.4,160.8,13.4,1647.9,16.2,665.7,14.1,1330.8,20.3
1053,331.1,24.5,919.5,23.4,161.5,13.4,1647.9,16.2,665.7,14.1,1330.8,20.3
1054,331.6,25.2,919.5,23.8,160.8,13.4,1696.3,16.5,655,14.1,1336.6,20.8
1055,335.1,25.2,1086,23.8,160.8,13.3,1825.3,16.5,655,14.1,1342.2,20.8
1056,330.9,25.2,1324.5,23.8,161.3,13.3,1877.3,16.5,649.8,14,1354,20.8
1057,334.5,25.2,1412.7,24,160.7,13.3,1940.8,16.9,647.9,14,1354,20.8
1058,332.4,25.1,1412.7,24,160.7,13.3,1940.8,16.9,645.1,14,1346.5,20.5
1059,330.1,25.1,1600.6,24,157.9,13.5,2013,16.9,645.1,14,1346.5,20.5
1060,330.1,25.1,1658.3,24,161.3,13.5,2013,16.9,628.9,14.2,1337.3,20.5
1061,329.8,25.1,1731.9,24,160.2,13.5,2013,17.2,628.9,14.2,1337.3,21
1062,329.8,25.6,1731.9,24,161.3,13.5,2057.4,17.2,620.4,14.2,1327.5,21
1063,325.5,25.6,1796,24,161.3,14.2,2090.5,17.2,614.1,14.4,1327.5,21
1064,325.5,25.6,1829,24,159.6,14.2,2122,17.2,592.6,14.4,1341.5,21
1065,324.9,25.8,1829,23.2,159.6,14.2,2130.2,16.8,580.5,14.4,1343.5,21
1066,320.8,25.8,1838.4,23.2,159.6,14.4,2130.2,16.8,580.5,14.4,1348.5,21
1067,319.1,25.8,1838.4,23.2,157.8,14.4,2140.5,16.8,572.7,14.6,1345.8,21
1068,319.1,25.8,1835.8,23.5,157.8,14.4,2154.9,17.4,567.3,14.6,1342.3,21
1069,310.9,25.9,1835.8,23.5,156.4,14.4,2172.6,17.4,556.4,14.6,1342.3,21.3
1070,311.7,25.9,1825.5,23.5,157.2,14.5,2170.5,17.4,556.4,14.6,1343,21.3
1071,309.4,25.9,1825.5,23.5,155.5,14.5,2170.5,17.4,551.3,14.7,1344.5,21.3
1072,307.2,25.9,1827.8,24,155.5,14.5,2170.5,17.9,537.8,14.7,1350.5,21.4
1073,300.3,25.4,1827.8,24,155.3,14.5,2163.2,17.9,531.8,14.7,1350.5,21.4
1074,307.8,25.4,1839.9,24,154.3,14.8,2182.7,17.9,531.8,14.8,1346.7,21.4
1075,307.8,25.4,1839.9,24,154.3,14.8,2198.5,17.9,527.9,14.8,1344.6,21.4
1076,306.8,26.4,1828.3,23.9,155.7,14.8,2198.5,18.2,525,14.8,1343.3,21.9
1077,303,26.4,1828.3,23.9,155.7,15,2184.6,18.2,524.3,14.8,1343.3,21.9
1078,301.2,26.4,1791.5,23.9,154,15,2155.2,18.2,524.4,14.6,1337.4,21.9
1079,293.1,26.4,1791.5,23.9,151.9,15,2152.9,18.3,523.5,14.6,1333.3,21.9
1080,291.9,26.1,1735.2,23.9,155.1,15,2152.9,18.3,520.5,14.6,1335.8,21.9
1081,289.1,26.1,1735.2,23.9,155.1,15.3,2171.5,18.3,517.6,14.6,1335.8,21.9
1082,289.3,26.1,1715.7,23.9,155.1,15.3,2185.2,18.3,517.6,15,1333.8,21.9
1083,289.3,26.1,1702.5,23.7,155.1,15.3,2185.2,18.7,490.6,15,1333.8,22.6
1084,286.9,26.5,1665.5,23.7,153.9,15.3,2218,18.7,490.6,15,1333.2,22.6
1085,285.4,26.5,1665.5,23.7,154.7,15.7,2215.8,18.7,483.6,15.5,1333.2,22.6
1086,278.7,26.5,1643,23.7,154.2,15.7,2179.8,18.7,483.6,15.5,1335.8,22.6
1087,278.7,25.8,1602.6,23.6,154.9,15.7,2136.8,18.8,480.9,15.5,1330.3,22.6
1088,277.6,25.8,1570.6,23.6,154,8.4,2136.8,18.8,477,15.5,1329.5,22.6
1089,271.5,25.8,1533,23.6,154,8.4,2103,18.8,474.8,15.4,1329.5,22.6
1090,265.5,25.8,1451,24.4,156.4,8.4,2069.7,18.6,474.3,15.4,1323.8,22.6
1091,265.5,26.6,1416.1,24.4,154.8,8.4,2069.7,18.6,474.3,15.4,1323.8,23
1092,270.3,26.6,1390.2,24.4,151.5,7.9,2072.1,18.6,462.3,15.4,1319.3,23
1093,267.6,26.6,1390.2,24.4,151.5,7.9,2073.2,18.6,462.3,4.3,1319.3,23
1094,267,26.6,1344,23.7,154.5,7.9,2067.3,18.8,453,4.3,1312.3,23.2
1095,267,26.2,1307.3,23.7,152.5,7.9,2045.7,18.8,449.7,4.3,1309.3,23.2
1096,266.7,26.2,1307.3,23.7,152.1,16.5,2051.1,18.8,445.2,4.2,1309.3,23.2
1097,267.4,26.2,1288.8,23.7,152.1,16.5,2051.1,18.8,445.2,4.2,1309.2,23.2
1098,268.8,26,1288.8,23.4,152.5,16.5,2043.3,19.1,442.9,4.2,1305.3,23.3
1099,268.8,26,1248.3,23.4,150.3,16.1,2043.3,19.1,442.9,4.2,1292.1,23.3
1100,270.9,26,1233.3,23.4,151,16.1,2034.6,19.1,433.1,9.9,1292.1,23.3
1101,275.3,26,1214.4,24.3,149.7,16.1,2028.3,19.5,433.1,9.9,1283.8,23.3
1102,276.1,26.3,1214.4,24.3,149.7,16.1,1994.5,19.5,426.8,9.9,1283.8,23.6
1103,277.3,26.3,1182.3,24.3,164.1,14.5,1994.5,19.5,426.8,9.9,1284.9,23.6
1104,274.8,26.3,1177.6,24.3,146.3,14.5,1980.9,19.5,421.8,12.9,1284.9,23.6
1105,278.1,26.3,1177.6,23.7,141.3,14.5,1980.9,19.6,418.2,12.9,1282.3,23.4
1106,277.6,26.2,1147.2,23.7,134.7,14.5,1989,19.6,420.3,12.9,1278.9,23.4
1107,277.6,26.2,1147.2,23.7,101.3,14.9,1989,19.6,421.5,14.2,1279.2,23.4
1108,274.1,26.2,1132,23.7,101.3,14.9,1998.6,19.6,422.7,14.2,1279.2,23.4
1109,271.5,26.3,1129.5,23.7,82.3,14.9,1998.6,19.8,422.7,14.2,1262.8,23.6
1110,265.2,26.3,1105,23.7,74.3,15.8,1974.1,19.8,367.8,14.2,1260.1,23.6
1111,265.2,26.3,1105,23.7,74.1,15.8,1974.1,19.8,367.8,15.7,1254,23.6
1112,270,26.3,1096.2,23.3,74.8,15.8,1964.4,20.3,409.9,15.7,1254.9,23.6
1113,265.6,26,1084.5,23.3,88.5,15.8,1961.4,20.3,409.9,15.7,1247.3,24.1
1114,265.6,26,1077.5,23.3,88.5,15.2,1946.8,20.3,441.6,15.7,1246.3,24.1
1115,265.6,26,1068.1,23.3,94.5,15.2,1933.3,20.3,426.9,16.2,1246.3,24.1
1116,263.6,26,1058,23.4,94.5,15.2,1912.2,19.9,419.7,16.2,1244.5,24.1
1117,261.4,26.6,1046.7,23.4,99.3,15.2,1912.2,19.9,419.7,16.2,1243.6,24.1
1118,261.4,26.6,1029.6,23.4,124.3,15.3,1899.1,19.9,447.6,16.7,1237.2,24.1
1119,261.4,26.6,1019.5,23.4,156,15.3,1899.1,19.9,483.6,16.7,1232.8,24.1
1120,256.6,26.1,997.3,23.5,156,15.3,1893.9,20.3,603.3,16.7,1232.8,24.4
1121,262.8,26.1,968.3,23.5,213.6,15.3,1887.6,20.3,603.3,16.7,1229.1,24.4
1122,262.8,26.1,940.8,23.5,213.6,15.3,1878.8,20.3,647.7,15.8,1223.5,24.4
1123,259.6,26.1,919.5,23.6,303.3,15.3,1878.8,20.5,790,15.8,1220.3,24.4
1124,265.1,25.8,919.5,23.6,303.3,15.3,1869,20.5,903.1,15.8,1217,24
1125,265.2,25.8,894.6,23.6,336.6,14.7,1852,20.5,903.1,15.8,1217,24
1126,265.2,25.8,855,23.6,346.6,14.7,1833.3,20.5,1123.2,15.6,1208.3,24
1127,264.1,25.8,842.1,23.3,353.6,14.7,1833.3,20.4,1123.2,15.6,1208.3,24.3
1128,264.3,25.5,842.1,23.3,353.6,14.7,1822.5,20.4,1365.1,15.6,1207,24.3
1129,264.6,25.5,819.9,23.3,365.6,14.3,1817.8,20.4,1494.3,16.2,1207,24.3
1130,264.6,25.5,813.6,23.3,391.1,14.3,1814.8,20.4,1494.3,16.2,1203.3,24.3
1131,270.8,26,805.5,23.7,403.1,14.3,1814.8,21.1,1801.3,16.2,1199.7,24.6
1132,281.8,26,805.5,23.7,410.8,14.7,1809.8,21.1,1801.3,16.2,1199.7,24.6
1133,281.8,26,796.9,23.7,410.8,14.7,1773.3,21.1,1867,16.3,1200.5,24.6
1134,281.4,26,771.6,23.7,429,14.7,1773.3,21.1,1867,16.3,1205.3,24.6
1135,281.4,26.2,760.9,23.7,432.9,14.7,1773.3,21.8,2002.5,16.3,1203.9,24.7
1136,293.7,26.2,760.9,23.7,432.9,14.4,1762,21.8,2002.5,16.3,1203.9,24.7
1137,296.8,26.2,747.1,23.7,455.6,14.4,1753.2,21.8,2016.4,16.1,1203.6,24.7
1138,299.8,26.2,730.2,23.6,455.6,14.4,1744.2,21.4,2097,16.1,1205.1,24.4
1139,299.8,26.2,724.4,23.6,460.6,14.4,1740,21.4,2119.7,16.1,1207.3,24.4
1140,307.5,26.2,724.4,23.6,462,14.7,1733.7,21.4,2119.7,16.1,1207.3,24.4
1141,310.2,26.2,704.9,23.6,456.8,14.7,1730.1,21.4,2139.3,16.1,1218.5,24.4
1142,310.2,25.7,699.3,23.7,456.8,14.7,1730.1,22.1,2139.3,16.1,1222.3,24.7
1143,311.7,25.7,699.3,23.7,451.9,14.8,1712.3,22.1,2199.9,16.1,1222.3,24.7
1144,311.7,25.7,685.8,23.7,444.9,14.8,1705,22.1,2199.9,17,1223,24.7
1145,313.8,25.7,671.7,23.5,444.9,14.8,1705,22.1,2197.2,17,1231.6,24.7
1146,321.1,25.6,671.7,23.5,454.3,14.8,1703.7,22.2,2178.3,17,1233.9,25
1147,331.6,25.6,664.2,23.5,454.3,15.1,1691.1,22.2,2172.2,17,1233.9,25
