Date: 2023/12/11   09:10:59,,,,,,,,,,,,
Time,Grip Force_rd1(g),Height_rd1(cm),Grip Force_rd2(g),Height_rd2(cm),Grip Force_rd3(g),Height_rd3(cm),Grip Force_rd4(g),Height_rd4(cm),Grip Force_rd5(g),Height_rd5(cm),Grip Force_rd6(g),Height_rd6(cm)
63,154.2,2.2,126.4,2.3,62.1,2.3,102.1,2.3,72.5,2.1,175.8,2.7
64,154.8,2.1,127.2,2.3,61.8,2.3,102.1,2,72.5,2.1,175.8,2.4
65,160.2,2.1,127.2,2.3,61.8,2.5,105.1,2,74.5,2.1,192.4,2.4
66,160.2,2.1,128.3,2.3,62.1,2.5,107.8,2,74.5,2.1,192.4,2.4
67,163.2,2.1,131.4,2.3,62.1,2.5,110.8,2.2,75.5,2.1,215.3,2.4
68,164.8,2,132.3,2.3,62.1,2.5,114,2.2,72.6,2.1,215.3,2.3
69,164.1,2,132.3,2.3,62.1,2.4,116.1,2.2,72.6,2.2,243.1,2.3
70,164.4,2,135.2,2.3,62.4,2.4,119.8,2.2,72.6,2.2,243.1,2.3
71,162.6,2,135.2,2.2,61,2.4,119.8,2.2,70.6,2.2,266.6,2.4
72,158.5,2.2,140.4,2.2,60.1,2.4,120.3,2.2,70.3,2.2,266.6,2.4
73,151.2,2.2,140.4,2.2,60.1,2.3,120.3,2.2,70.3,2.1,272.6,2.4
74,149.4,2.2,145.9,2,61,2.3,124,2.2,70.3,2.1,294.1,2.4
75,149.4,2,151.2,2,62.8,2.3,124,2.1,74.1,2.1,305.3,2.3
76,146.4,2,154,2,62.8,2.3,125.3,2.1,75.9,2.1,305.3,2.3
77,142.3,2,154,2,62.8,2.3,125.3,2.1,75.9,2.2,315.4,2.3
78,142.7,2,161.3,2.2,64.2,2.3,126.1,2.1,75.8,2.2,320.7,2.3
79,142.7,2.3,170.5,2.2,63.9,2.3,126.1,2.1,75.8,2.2,322.8,2.2
80,143.5,2.3,185.1,2.2,65.3,2.5,125.7,2.1,77.1,2.2,322.8,2.2
81,145.2,2.3,185.1,2.2,65.3,2.5,125.7,2.1,77.1,2.2,326.7,2.2
82,144.9,2.3,188.8,2.1,72,2.5,124.6,3.4,78.6,2.2,327.8,3.3
83,144.9,2,206.7,2.1,77.4,2.5,124.6,3.4,77.1,2.2,325.8,3.3
84,141.3,2,206.7,2.1,77.4,2.4,121,3.4,82.2,2.3,325.8,3.3
