Date: 2023/12/11   15:06:07
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,199.0,-0.003,0.077,0.916,1.9,Auto,0,15.0,
1,199.0,0.010,0.074,0.912,1.9,Auto,0,15.0,
2,198.9,0.011,0.077,0.910,1.9,Auto,0,15.0,
3,198.9,0.011,0.077,0.910,1.9,Auto,0,15.0,
4,199.7,0.010,0.083,0.903,1.9,Auto,0,15.0,
5,200.7,0.007,0.081,0.918,1.9,Auto,0,15.0,
6,202.7,0.005,0.087,0.903,2.2,Auto,0,15.0,
7,202.7,0.005,0.087,0.903,2.2,Auto,0,15.0,
8,204.4,-0.004,0.082,0.926,2.2,Auto,0,15.0,
9,204.2,-0.005,0.078,0.902,2.0,Auto,0,15.0,
10,207.4,0.007,0.086,0.905,2.0,Auto,0,15.0,
11,207.4,0.007,0.086,0.905,2.0,Auto,0,15.0,
12,212.3,0.006,0.075,0.912,2.0,Auto,0,15.0,
13,212.3,0.006,0.075,0.912,2.2,Auto,0,15.0,
14,211.8,0.013,0.077,0.911,2.2,Auto,0,15.0,
15,211.8,0.013,0.077,0.911,2.2,Auto,0,15.0,
16,217.3,-0.009,0.067,0.916,2.2,Auto,0,15.0,
17,217.5,0.004,0.064,0.908,2.1,Auto,0,15.0,
18,217.2,0.015,0.055,0.921,2.1,Auto,0,15.0,
19,217.2,0.015,0.055,0.921,2.1,Auto,0,15.0,
20,219.3,0.008,0.050,0.908,1.9,Auto,0,15.0,
21,223.9,-0.001,0.062,0.919,1.9,Auto,0,15.0,
22,224.8,0.008,0.054,0.919,1.9,Auto,0,15.0,
23,224.8,0.008,0.054,0.919,1.9,Auto,0,15.0,
24,227.8,-0.000,0.075,0.917,2.0,Auto,0,15.0,
25,233.1,0.004,0.083,0.917,2.0,Auto,0,15.0,
26,235.9,-0.003,0.083,0.904,2.0,Auto,0,15.0,
27,236.8,0.001,0.081,0.922,2.0,Auto,0,15.0,
28,238.3,0.005,0.089,0.912,2.1,Auto,0,15.0,
29,240.4,0.006,0.083,0.912,2.1,Auto,0,15.0,
30,240.4,0.006,0.083,0.912,2.1,Auto,0,15.0,
31,240.1,0.012,0.076,0.917,2.2,Auto,0,15.0,
32,240.1,0.012,0.076,0.917,2.2,Auto,0,15.0,
33,249.4,0.004,0.079,0.911,2.2,Auto,0,15.0,
34,249.4,0.004,0.079,0.911,2.2,Auto,0,15.0,
35,250.8,0.001,0.067,0.908,2.2,Auto,0,15.0,
36,250.8,0.001,0.067,0.908,2.2,Auto,0,15.0,
37,259.9,0.005,0.078,0.908,2.2,Auto,0,15.0,
38,259.9,0.005,0.078,0.908,2.2,Auto,0,15.0,
39,260.8,-0.004,0.059,0.901,1.8,Auto,0,15.0,
40,260.8,-0.004,0.059,0.901,1.8,Auto,0,15.0,
41,263.1,-0.001,0.069,0.909,1.8,Auto,0,15.0,
42,263.1,-0.001,0.069,0.909,2.2,Auto,0,15.0,
43,261.1,-0.001,0.063,0.918,2.2,Auto,0,15.0,
44,267.1,0.006,0.081,0.907,2.2,Auto,0,15.0,
45,268.2,0.006,0.075,0.907,2.2,Auto,0,15.0,
46,268.2,0.006,0.075,0.907,2.2,Auto,0,15.0,
47,272.1,-0.005,0.069,0.906,2.2,Auto,0,15.0,
48,273.0,-0.001,0.074,0.916,2.2,Auto,0,15.0,
49,276.8,-0.000,0.074,0.911,2.2,Auto,0,15.0,
50,276.8,-0.000,0.074,0.911,2.2,Auto,0,15.0,
51,280.1,0.014,0.076,0.907,2.2,Auto,0,15.0,
52,279.3,0.009,0.074,0.904,2.2,Auto,0,15.0,
53,281.4,-0.012,0.086,0.897,2.2,Auto,0,15.0,
54,281.4,-0.012,0.086,0.897,2.2,Auto,0,15.0,
55,282.0,0.003,0.083,0.909,2.2,Auto,0,15.0,
56,282.3,-0.001,0.079,0.910,2.2,Auto,0,15.0,
57,283.3,0.014,0.083,0.914,2.0,Auto,0,15.0,
58,283.3,0.014,0.083,0.914,2.0,Auto,0,15.0,
59,284.3,0.005,0.083,0.910,2.0,Auto,0,15.0,
60,286.9,0.002,0.085,0.907,2.0,Auto,0,15.0,
61,286.9,0.002,0.085,0.907,2.0,Auto,0,15.0,
62,286.9,0.002,0.085,0.907,2.0,Auto,0,15.0,
63,294.3,-0.005,0.104,0.916,2.0,Auto,0,15.0,
64,297.9,0.003,0.097,0.913,2.0,Auto,0,15.0,
65,299.8,-0.000,0.109,0.905,2.0,Auto,0,15.0,
66,298.6,-0.001,0.106,0.899,2.0,Auto,0,15.0,
67,302.6,-0.020,0.093,0.914,2.0,Auto,0,15.0,
68,304.6,0.032,0.038,0.915,1.9,Auto,0,15.0,
69,304.6,0.032,0.038,0.915,1.9,Auto,0,15.0,
70,305.7,0.006,0.041,0.902,1.9,Auto,0,15.0,
71,305.7,0.006,0.041,0.902,1.9,Auto,0,15.0,
72,308.8,-0.002,0.065,0.916,2.1,Auto,0,15.0,
73,308.8,-0.002,0.065,0.916,2.1,Auto,0,15.0,
74,310.1,0.014,0.084,0.909,2.1,Auto,0,15.0,
75,308.7,0.009,0.070,0.912,2.1,Auto,0,15.0,
76,313.3,0.016,0.080,0.909,2.1,Auto,0,15.0,
77,313.3,0.016,0.080,0.909,2.1,Auto,0,15.0,
