Date: 2023/12/06   09:49:14
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,414.6,0.021,0.067,0.922,1.7,Auto,0,15.0,
1,414.6,0.021,0.067,0.922,1.8,Auto,0,15.0,
2,414.9,0.022,0.066,0.911,1.8,Auto,0,15.0,
3,413.8,0.013,0.055,0.902,1.8,Auto,0,15.0,
4,413.6,0.022,0.057,0.914,1.7,Auto,0,15.0,
5,413.4,0.024,0.050,0.906,1.7,Auto,0,15.0,
6,413.4,0.024,0.050,0.906,1.7,Auto,0,15.0,
7,412.5,0.023,0.049,0.906,1.7,Auto,0,15.0,
8,412.5,0.023,0.049,0.906,1.9,Auto,0,15.0,
9,412.1,0.025,0.066,0.907,1.9,Auto,0,15.0,
10,409.8,0.025,0.049,0.909,1.9,Auto,0,15.0,
11,409.8,0.025,0.049,0.909,1.8,Auto,0,15.0,
12,409.9,0.025,0.062,0.905,1.8,Auto,0,15.0,
13,408.8,0.019,0.057,0.904,1.8,Auto,0,15.0,
14,407.4,0.035,0.054,0.913,1.8,Auto,0,15.0,
15,407.4,0.035,0.054,0.913,1.6,Auto,0,15.0,
16,407.7,0.024,0.056,0.897,1.6,Auto,0,15.0,
17,408.8,0.027,0.054,0.902,1.6,Auto,0,15.0,
18,409.3,0.025,0.053,0.917,1.6,Auto,0,15.0,
19,409.2,0.040,0.060,0.919,1.8,Auto,0,15.0,
20,409.2,0.040,0.060,0.919,1.8,Auto,0,15.0,
21,410.4,0.018,0.059,0.917,1.8,Auto,0,15.0,
22,410.6,0.021,0.055,0.908,1.9,Auto,0,15.0,
23,411.0,0.026,0.063,0.905,1.9,Auto,0,15.0,
24,411.0,0.026,0.063,0.905,1.9,Auto,0,15.0,
25,411.4,0.017,0.058,0.896,1.9,Auto,0,15.0,
26,412.2,0.024,0.053,0.907,1.7,Auto,0,15.0,
27,411.6,0.023,0.056,0.911,1.7,Auto,0,15.0,
28,411.6,0.023,0.056,0.911,1.7,Auto,0,15.0,
29,408.9,0.020,0.055,0.910,1.7,Auto,0,15.0,
30,408.9,0.020,0.055,0.910,1.8,Auto,0,15.0,
31,407.6,0.020,0.042,0.896,1.8,Auto,0,15.0,
32,407.6,0.020,0.042,0.896,1.8,Auto,0,15.0,
33,407.3,0.021,0.046,0.905,1.7,Auto,0,15.0,
34,405.8,0.025,0.052,0.911,1.7,Auto,0,15.0,
35,404.3,0.042,0.049,0.906,1.7,Auto,0,15.0,
36,404.3,0.042,0.049,0.906,1.7,Auto,0,15.0,
37,403.2,0.023,0.057,0.907,1.8,Auto,0,15.0,
38,402.4,0.021,0.054,0.881,1.8,Auto,0,15.0,
39,401.7,0.031,0.057,0.904,1.8,Auto,0,15.0,
40,402.1,0.027,0.062,0.914,1.8,Auto,0,15.0,
41,403.2,0.022,0.072,0.925,1.8,Auto,0,15.0,
42,403.2,0.022,0.072,0.925,1.8,Auto,0,15.0,
43,403.2,0.023,0.061,0.915,1.8,Auto,0,15.0,
44,402.9,0.031,0.049,0.908,1.7,Auto,0,15.0,
45,402.4,0.023,0.053,0.897,1.7,Auto,0,15.0,
46,402.4,0.023,0.053,0.897,1.7,Auto,0,15.0,
47,402.1,0.023,0.054,0.917,1.7,Auto,0,15.0,
48,402.1,0.023,0.054,0.917,1.8,Auto,0,15.0,
49,400.9,0.032,0.070,0.917,1.8,Auto,0,15.0,
50,400.9,0.032,0.070,0.917,1.8,Auto,0,15.0,
51,400.8,0.023,0.058,0.905,1.8,Auto,0,15.0,
52,400.6,0.025,0.051,0.895,1.8,Auto,0,15.0,
53,399.3,0.017,0.050,0.912,1.8,Auto,0,15.0,
54,398.3,0.027,0.055,0.921,1.8,Auto,0,15.0,
55,398.3,0.027,0.055,0.921,1.9,Auto,0,15.0,
56,395.6,0.019,0.049,0.906,1.9,Auto,0,15.0,
57,394.2,0.020,0.054,0.899,1.9,Auto,0,15.0,
58,390.9,0.018,0.050,0.897,1.9,Auto,0,15.0,
59,390.9,0.018,0.050,0.897,1.6,Auto,0,15.0,
60,390.0,0.021,0.055,0.891,1.6,Auto,0,15.0,
61,393.3,0.020,0.053,0.911,1.6,Auto,0,15.0,
62,394.5,0.037,0.048,0.913,1.7,Auto,0,15.0,
63,394.5,0.037,0.048,0.913,1.7,Auto,0,15.0,
64,397.2,0.034,0.069,0.929,1.7,Auto,0,15.0,
65,402.4,0.011,0.052,0.908,1.7,Auto,0,15.0,
66,404.6,0.027,0.062,0.897,1.8,Auto,0,15.0,
67,404.6,0.027,0.062,0.897,1.8,Auto,0,15.0,
68,406.9,0.057,0.070,0.926,1.8,Auto,0,15.0,
69,406.9,0.057,0.070,0.926,1.6,Auto,0,15.0,
70,406.9,0.057,0.070,0.926,1.6,Auto,0,15.0,
71,407.7,0.063,0.075,0.905,1.6,Auto,0,15.0,
72,408.1,0.048,0.070,0.898,1.6,Auto,0,15.0,
73,412.6,0.089,0.041,0.901,1.8,Auto,0,15.0,
74,412.5,-0.209,-0.055,0.917,1.8,Auto,0,15.0,
75,412.5,-0.209,-0.055,0.917,1.8,Auto,0,15.0,
76,414.9,0.051,0.049,0.903,1.8,Auto,0,15.0,
77,405.9,-0.031,0.025,0.917,1.8,Auto,0,15.0,
78,401.4,0.039,0.015,0.923,1.8,Auto,0,15.0,
79,399.3,0.013,0.026,0.899,1.8,Auto,0,15.0,
80,398.3,-0.025,0.007,0.906,1.7,Auto,0,15.0,
81,398.3,-0.025,0.007,0.906,1.7,Auto,0,15.0,
82,398.8,0.016,0.031,0.900,1.7,Auto,0,15.0,
83,398.8,-0.013,0.030,0.924,1.7,Auto,0,15.0,
84,398.4,0.012,0.055,0.915,1.8,Auto,0,15.0,
85,395.8,0.017,0.063,0.906,1.8,Auto,0,15.0,
86,395.8,0.017,0.063,0.906,1.8,Auto,0,15.0,
87,394.8,0.026,0.062,0.902,1.8,Auto,0,15.0,
88,392.8,0.043,0.087,0.896,1.7,Auto,0,15.0,
89,392.7,0.081,0.050,0.904,1.7,Auto,0,15.0,
90,392.7,0.081,0.050,0.904,1.7,Auto,0,15.0,
91,393.3,0.058,0.076,0.911,1.9,Auto,0,15.0,
92,394.2,0.037,0.072,0.906,1.9,Auto,0,15.0,
93,394.9,0.021,0.049,0.908,1.9,Auto,0,15.0,
94,394.9,0.021,0.049,0.908,1.9,Auto,0,15.0,
95,397.2,-0.052,0.037,0.924,1.7,Auto,0,15.0,
96,401.6,0.005,0.035,0.903,1.7,Auto,0,15.0,
97,402.6,-0.027,0.068,0.921,1.7,Auto,0,15.0,
98,402.6,-0.027,0.068,0.921,1.7,Auto,0,15.0,
99,406.2,-0.035,0.062,0.911,1.7,Auto,0,15.0,
100,411.6,-0.017,0.021,0.980,1.7,Auto,0,15.0,
101,411.6,-0.017,0.021,0.980,1.7,Auto,0,15.0,
102,411.6,-0.017,0.021,0.980,1.9,Auto,0,15.0,
103,411.4,-0.021,0.010,0.996,1.9,Auto,0,15.0,
104,411.8,0.001,-0.004,1.012,1.9,Auto,0,15.0,
105,411.6,0.037,0.005,1.023,1.9,Auto,0,15.0,
106,411.6,0.037,0.005,1.023,1.8,Auto,0,15.0,
107,411.0,0.025,0.020,1.005,1.8,Auto,0,15.0,
