Date: 2023/07/06   12:17:34
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,49.0,-0.027,0.014,1.036,2.2,Auto,0,15.0,
1,47.9,-0.021,0.005,1.027,2.2,Auto,0,15.0,
2,47.9,-0.021,0.005,1.027,2.2,Auto,0,15.0,
3,51.8,-0.033,-0.004,1.042,2.2,Auto,0,15.0,
4,51.1,-0.032,0.018,1.033,2.2,Auto,0,15.0,
5,55.4,-0.064,0.032,1.031,2.2,Auto,0,15.0,
6,55.4,-0.064,0.032,1.031,2.2,Auto,0,15.0,
7,49.2,-0.052,0.029,1.034,2.2,Auto,0,15.0,
8,54.3,-0.008,-0.007,1.033,2.2,Auto,0,15.0,
9,53.5,-0.050,0.046,1.024,2.2,Auto,0,15.0,
10,53.5,-0.050,0.046,1.024,2.3,Auto,0,15.0,
11,52.9,-0.040,0.024,1.029,2.3,Auto,0,15.0,
12,52.9,-0.040,0.024,1.029,2.3,Auto,0,15.0,
13,50.3,-0.042,0.021,1.031,2.3,Auto,0,15.0,
14,50.3,-0.042,0.021,1.031,2.2,Auto,0,15.0,
15,49.8,-0.054,0.027,1.042,2.2,Auto,0,15.0,
16,49.8,-0.054,0.027,1.042,2.2,Auto,0,15.0,
17,50.9,-0.030,0.020,1.036,2.4,Auto,0,15.0,
18,50.7,-0.034,-0.005,1.032,2.4,Auto,0,15.0,
19,50.7,-0.034,-0.005,1.032,2.4,Auto,0,15.0,
20,52.8,-0.040,0.024,1.037,2.4,Auto,0,15.0,
21,52.8,-0.040,0.024,1.037,2.1,Auto,0,15.0,
22,50.7,-0.039,0.007,1.039,2.1,Auto,0,15.0,
23,50.7,-0.039,0.007,1.039,2.1,Auto,0,15.0,
24,50.3,-0.037,0.014,1.036,2.1,Auto,0,15.0,
25,51.1,-0.046,0.020,1.032,2.1,Auto,0,15.0,
26,52.2,-0.046,0.021,1.039,2.1,Auto,0,15.0,
27,52.2,-0.046,0.021,1.039,2.1,Auto,0,15.0,
28,51.8,-0.048,0.021,1.036,2.0,Auto,0,15.0,
29,51.8,-0.048,0.021,1.036,2.0,Auto,0,15.0,
30,49.0,-0.031,0.029,1.034,2.0,Auto,0,15.0,
31,49.0,-0.031,0.029,1.034,2.0,Auto,0,15.0,
32,48.6,-0.043,0.028,1.037,2.0,Auto,0,15.0,
33,48.6,-0.043,0.028,1.037,2.0,Auto,0,15.0,
34,43.4,-0.040,0.027,1.043,2.0,Auto,0,15.0,
35,48.0,-0.040,0.023,1.041,2.0,Auto,0,15.0,
36,48.3,-0.038,0.013,1.029,2.4,Auto,0,15.0,
37,48.3,-0.038,0.013,1.029,2.4,Auto,0,15.0,
38,46.9,-0.031,0.012,1.033,2.4,Auto,0,15.0,
39,48.9,-0.049,0.040,1.039,2.1,Auto,0,15.0,
40,47.5,-0.047,0.011,1.038,2.1,Auto,0,15.0,
41,47.5,-0.047,0.011,1.038,2.1,Auto,0,15.0,
42,46.2,-0.039,0.022,1.041,2.1,Auto,0,15.0,
43,45.3,-0.042,0.010,1.034,2.2,Auto,0,15.0,
44,45.1,-0.028,-0.002,1.040,2.2,Auto,0,15.0,
45,45.1,-0.028,-0.002,1.040,2.2,Auto,0,15.0,
46,45.3,-0.056,0.033,1.033,2.2,Auto,0,15.0,
