Date: 2023/12/11   13:58:14
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,73.5,0.001,-0.010,0.905,2.4,Auto,0,15.0,
1,73.5,-0.003,-0.017,0.909,2.4,Auto,0,15.0,
2,73.5,-0.003,-0.017,0.909,2.4,Auto,0,15.0,
3,74.7,0.004,-0.005,0.921,2.4,Auto,0,15.0,
4,77.4,-0.000,-0.010,0.913,2.4,Auto,0,15.0,
5,77.4,-0.000,-0.010,0.913,2.4,Auto,0,15.0,
6,77.4,-0.000,-0.010,0.913,2.3,Auto,0,15.0,
7,78.9,-0.002,-0.021,0.911,2.3,Auto,0,15.0,
8,79.5,-0.008,-0.015,0.915,2.3,Auto,0,15.0,
9,79.5,-0.008,-0.015,0.915,2.3,Auto,0,15.0,
10,79.5,-0.008,-0.015,0.915,2.3,Auto,0,15.0,
11,77.8,0.005,-0.003,0.906,2.3,Auto,0,15.0,
12,77.8,0.005,-0.003,0.906,2.3,Auto,0,15.0,
13,78.3,-0.001,-0.007,0.921,2.5,Auto,0,15.0,
14,78.3,-0.001,-0.007,0.921,2.5,Auto,0,15.0,
15,78.6,-0.010,0.001,0.916,2.5,Auto,0,15.0,
16,78.6,-0.010,0.001,0.916,2.5,Auto,0,15.0,
17,77.8,-0.005,-0.002,0.918,2.7,Auto,0,15.0,
18,77.1,-0.001,-0.026,0.915,2.7,Auto,0,15.0,
19,77.4,-0.006,-0.005,0.909,2.7,Auto,0,15.0,
20,77.4,0.001,-0.007,0.901,2.6,Auto,0,15.0,
21,77.4,0.001,-0.007,0.901,2.6,Auto,0,15.0,
22,77.8,-0.003,-0.010,0.902,2.6,Auto,0,15.0,
23,77.8,-0.003,-0.010,0.902,2.6,Auto,0,15.0,
24,78.3,0.001,-0.003,0.913,2.5,Auto,0,15.0,
25,78.3,0.001,-0.003,0.913,2.5,Auto,0,15.0,
26,79.2,-0.002,-0.016,0.911,2.5,Auto,0,15.0,
27,79.8,-0.003,-0.012,0.905,2.5,Auto,0,15.0,
28,80.5,-0.005,-0.010,0.911,2.5,Auto,0,15.0,
29,81.6,0.001,-0.013,0.904,2.5,Auto,0,15.0,
30,83.0,0.001,-0.019,0.911,2.5,Auto,0,15.0,
31,83.7,0.020,-0.021,0.901,2.3,Auto,0,15.0,
32,83.8,-0.012,-0.013,0.911,2.3,Auto,0,15.0,
33,83.8,-0.012,-0.013,0.911,2.3,Auto,0,15.0,
34,84.0,-0.026,-0.011,0.912,2.3,Auto,0,15.0,
35,85.2,-0.013,-0.010,0.915,2.5,Auto,0,15.0,
36,85.5,0.005,-0.014,0.901,2.5,Auto,0,15.0,
37,85.5,0.005,-0.014,0.901,2.5,Auto,0,15.0,
38,86.0,0.011,-0.007,0.909,2.5,Auto,0,15.0,
39,86.1,0.007,-0.018,0.915,2.5,Auto,0,15.0,
40,86.1,0.007,-0.018,0.915,2.5,Auto,0,15.0,
41,86.1,0.007,-0.018,0.915,2.5,Auto,0,15.0,
42,87.8,-0.029,-0.003,0.916,2.4,Auto,0,15.0,
43,88.3,-0.023,-0.006,0.905,2.4,Auto,0,15.0,
44,88.3,-0.023,-0.006,0.905,2.4,Auto,0,15.0,
45,88.0,-0.016,-0.008,0.898,2.4,Auto,0,15.0,
46,88.0,-0.016,-0.008,0.898,2.5,Auto,0,15.0,
47,86.0,-0.003,-0.006,0.911,2.5,Auto,0,15.0,
48,86.0,-0.003,-0.006,0.911,2.5,Auto,0,15.0,
49,86.1,0.001,-0.012,0.909,2.5,Auto,0,15.0,
50,86.1,0.001,-0.012,0.909,2.6,Auto,0,15.0,
51,84.8,0.000,-0.007,0.899,2.6,Auto,0,15.0,
52,84.8,0.000,-0.007,0.899,2.6,Auto,0,15.0,
53,84.0,-0.001,-0.015,0.910,2.4,Auto,0,15.0,
54,84.0,-0.001,-0.015,0.910,2.4,Auto,0,15.0,
55,83.7,0.001,-0.005,0.916,2.4,Auto,0,15.0,
56,83.7,0.001,-0.005,0.916,2.4,Auto,0,15.0,
57,84.3,-0.036,0.004,0.907,2.7,Auto,0,15.0,
58,83.3,-0.034,-0.004,0.907,2.7,Auto,0,15.0,
59,82.8,-0.017,-0.011,0.903,2.7,Auto,0,15.0,
60,82.3,-0.017,-0.007,0.908,2.7,Auto,0,15.0,
61,81.0,-0.024,-0.009,0.917,2.4,Auto,0,15.0,
62,79.3,0.076,-0.041,0.906,2.4,Auto,0,15.0,
63,78.9,-0.003,-0.012,0.909,2.4,Auto,0,15.0,
64,78.9,-0.003,-0.012,0.909,2.6,Auto,0,15.0,
65,79.5,0.008,-0.010,0.910,2.6,Auto,0,15.0,
66,79.8,0.014,-0.011,0.905,2.6,Auto,0,15.0,
67,80.7,0.004,-0.011,0.917,2.6,Auto,0,15.0,
68,81.1,0.041,-0.033,0.901,2.3,Auto,0,15.0,
69,81.1,-0.008,-0.011,0.914,2.3,Auto,0,15.0,
70,81.5,-0.053,0.009,0.919,2.3,Auto,0,15.0,
71,80.8,0.006,-0.013,0.912,2.3,Auto,0,15.0,
72,80.8,0.006,-0.013,0.912,2.4,Auto,0,15.0,
73,79.3,-0.031,-0.003,0.904,2.4,Auto,0,15.0,
74,77.5,0.036,-0.023,0.911,2.4,Auto,0,15.0,
75,77.5,0.036,-0.023,0.911,2.5,Auto,0,15.0,
76,77.5,0.036,-0.023,0.911,2.5,Auto,0,15.0,
77,77.0,-0.018,-0.008,0.915,2.5,Auto,0,15.0,
78,77.0,0.019,-0.014,0.912,2.5,Auto,0,15.0,
79,77.0,0.019,-0.014,0.912,2.6,Auto,0,15.0,
80,77.0,0.019,-0.014,0.912,2.6,Auto,0,15.0,
81,76.0,-0.027,0.001,0.902,2.6,Auto,0,15.0,
82,76.0,-0.027,0.001,0.902,2.6,Auto,0,15.0,
83,76.3,-0.027,0.008,0.903,2.2,Auto,0,15.0,
84,76.3,-0.027,0.008,0.903,2.2,Auto,0,15.0,
85,77.0,-0.030,-0.007,0.911,2.2,Auto,0,15.0,
86,77.0,-0.030,-0.007,0.911,2.4,Auto,0,15.0,
87,77.8,0.024,-0.013,0.910,2.4,Auto,0,15.0,
88,80.3,-0.006,-0.016,0.900,2.4,Auto,0,15.0,
89,81.8,-0.004,-0.008,0.909,2.4,Auto,0,15.0,
90,86.5,-0.008,-0.016,0.904,2.2,Auto,0,15.0,
91,86.5,-0.008,-0.016,0.904,2.2,Auto,0,15.0,
92,88.6,-0.007,-0.009,0.910,2.2,Auto,0,15.0,
93,88.6,-0.007,-0.009,0.910,2.2,Auto,0,15.0,
94,89.1,0.000,-0.010,0.911,2.4,Auto,0,15.0,
95,89.1,0.000,-0.010,0.911,2.4,Auto,0,15.0,
96,91.5,0.010,-0.021,0.911,2.4,Auto,0,15.0,
97,92.7,0.021,-0.016,0.905,2.5,Auto,0,15.0,
98,94.3,0.012,-0.024,0.914,2.5,Auto,0,15.0,
99,95.5,0.027,-0.020,0.910,2.5,Auto,0,15.0,
100,100.8,-0.031,0.006,0.911,2.5,Auto,0,15.0,
101,103.5,-0.027,0.060,0.880,2.4,Auto,0,15.0,
102,108.0,-0.021,0.008,0.908,2.4,Auto,0,15.0,
103,108.0,-0.021,0.008,0.908,2.4,Auto,0,15.0,
104,111.5,-0.009,-0.018,0.919,2.4,Auto,0,15.0,
105,118.3,0.002,-0.003,0.917,2.5,Auto,0,15.0,
106,120.4,-0.009,0.034,0.919,2.5,Auto,0,15.0,
107,120.4,-0.009,0.034,0.919,2.5,Auto,0,15.0,
108,123.3,0.002,0.006,0.930,2.3,Auto,0,15.0,
109,129.9,-0.031,-0.036,0.961,2.3,Auto,0,15.0,
110,132.6,-0.055,-0.031,0.974,2.3,Auto,0,15.0,
111,133.7,-0.062,-0.025,0.983,2.3,Auto,0,15.0,
112,133.7,-0.062,-0.025,0.983,2.4,Auto,0,15.0,
113,142.2,-0.039,0.016,0.924,2.4,Auto,0,15.0,
114,142.2,-0.039,0.016,0.924,2.4,Auto,0,15.0,
115,146.8,-0.062,-0.016,0.925,2.4,Auto,0,15.0,
116,151.5,-0.047,0.016,0.917,2.6,Auto,0,15.0,
117,160.9,-0.061,-0.036,0.919,2.6,Auto,0,15.0,
118,160.9,-0.061,-0.036,0.919,2.6,Auto,0,15.0,
119,165.0,-0.031,0.008,0.922,3.4,Auto,0,15.0,
120,167.8,-0.025,-0.022,0.917,3.4,Auto,0,15.0,
121,171.0,-0.025,-0.002,0.884,3.4,Auto,0,15.0,
122,171.0,-0.025,-0.002,0.884,3.4,Auto,0,15.0,
123,171.0,-0.025,-0.002,0.884,3.2,Auto,0,15.0,
124,175.2,0.013,-0.017,0.901,3.2,Auto,0,15.0,
125,180.3,0.006,-0.013,0.924,3.2,Auto,0,15.0,
126,180.3,0.006,-0.013,0.924,3.2,Auto,0,15.0,
127,180.9,-0.014,-0.024,0.916,2.3,Auto,0,15.0,
128,181.8,-0.017,-0.033,0.912,2.3,Auto,0,15.0,
129,184.5,-0.049,-0.011,0.916,2.3,Auto,0,15.0,
130,184.5,-0.049,-0.011,0.916,1.8,Auto,0,15.0,
131,188.7,-0.076,-0.010,0.937,1.8,Auto,0,15.0,
132,192.2,-0.079,-0.018,0.931,1.8,Auto,0,15.0,
133,195.0,-0.056,-0.025,0.931,1.8,Auto,0,15.0,
134,195.0,-0.056,-0.025,0.931,2.2,Auto,0,15.0,
135,198.2,-0.065,-0.013,0.952,2.2,Auto,0,15.0,
136,200.7,-0.072,-0.026,0.959,2.2,Auto,0,15.0,
137,202.7,-0.065,-0.008,0.953,2.2,Auto,0,15.0,
138,203.4,-0.070,-0.025,0.973,1.6,Auto,0,15.0,
139,203.5,-0.061,-0.033,0.955,1.6,Auto,0,15.0,
