Date: 2023/12/11   13:58:52
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,195.3,0.009,-0.013,0.914,2.6,Auto,0,15.0,
1,201.2,-0.011,-0.015,0.906,2.6,Auto,0,15.0,
2,201.2,-0.011,-0.015,0.906,2.6,Auto,0,15.0,
3,201.2,-0.011,-0.015,0.906,2.7,Auto,0,15.0,
4,208.0,-0.008,-0.008,0.903,2.7,Auto,0,15.0,
5,208.9,-0.011,-0.004,0.909,2.7,Auto,0,15.0,
6,208.9,-0.011,-0.004,0.909,2.7,Auto,0,15.0,
7,208.7,-0.015,-0.008,0.918,2.7,Auto,0,15.0,
8,203.8,0.002,-0.015,0.923,2.7,Auto,0,15.0,
9,202.7,-0.001,-0.007,0.909,2.7,Auto,0,15.0,
10,202.7,-0.001,-0.007,0.909,2.8,Auto,0,15.0,
11,202.5,0.004,-0.016,0.901,2.8,Auto,0,15.0,
12,205.5,0.001,-0.024,0.903,2.8,Auto,0,15.0,
13,207.6,-0.000,-0.020,0.911,2.8,Auto,0,15.0,
14,207.6,-0.000,-0.020,0.911,2.6,Auto,0,15.0,
15,210.2,-0.010,-0.012,0.912,2.6,Auto,0,15.0,
16,211.0,-0.011,-0.014,0.913,2.6,Auto,0,15.0,
17,210.6,-0.004,-0.014,0.906,2.6,Auto,0,15.0,
18,210.6,-0.004,-0.014,0.906,2.6,Auto,0,15.0,
19,209.7,-0.003,-0.025,0.904,2.6,Auto,0,15.0,
20,204.6,-0.001,-0.021,0.915,2.6,Auto,0,15.0,
21,204.6,-0.001,-0.021,0.915,2.7,Auto,0,15.0,
22,204.6,-0.001,-0.021,0.915,2.7,Auto,0,15.0,
23,204.3,-0.028,0.007,0.906,2.7,Auto,0,15.0,
24,203.8,0.005,0.002,0.905,2.7,Auto,0,15.0,
25,204.4,-0.004,-0.003,0.919,2.7,Auto,0,15.0,
26,204.4,-0.004,-0.003,0.919,2.7,Auto,0,15.0,
27,206.5,-0.010,-0.010,0.911,2.7,Auto,0,15.0,
28,206.1,-0.005,-0.022,0.917,2.7,Auto,0,15.0,
29,205.8,-0.006,-0.012,0.918,2.7,Auto,0,15.0,
30,205.8,-0.003,-0.015,0.914,2.7,Auto,0,15.0,
31,206.5,-0.007,-0.013,0.914,2.7,Auto,0,15.0,
32,206.5,-0.007,-0.013,0.914,2.7,Auto,0,15.0,
33,208.7,0.004,-0.011,0.899,2.7,Auto,0,15.0,
34,210.6,0.008,-0.007,0.901,2.7,Auto,0,15.0,
35,210.6,0.008,-0.007,0.901,2.7,Auto,0,15.0,
36,212.8,-0.012,-0.009,0.909,2.4,Auto,0,15.0,
37,212.8,-0.012,-0.009,0.909,2.4,Auto,0,15.0,
38,212.4,-0.017,0.001,0.918,2.4,Auto,0,15.0,
39,207.6,0.002,-0.031,0.904,2.4,Auto,0,15.0,
40,206.8,0.003,-0.032,0.908,2.6,Auto,0,15.0,
41,206.8,0.003,-0.032,0.908,2.6,Auto,0,15.0,
42,208.2,-0.006,-0.029,0.901,2.6,Auto,0,15.0,
43,209.1,0.005,-0.040,0.910,2.3,Auto,0,15.0,
44,209.5,-0.007,-0.017,0.898,2.3,Auto,0,15.0,
45,209.5,-0.007,-0.017,0.898,2.3,Auto,0,15.0,
46,208.9,-0.012,0.045,0.883,2.3,Auto,0,15.0,
47,206.1,-0.023,-0.015,0.908,2.6,Auto,0,15.0,
48,203.3,-0.003,-0.011,0.917,2.6,Auto,0,15.0,
49,203.3,-0.003,-0.011,0.917,2.6,Auto,0,15.0,
50,199.8,-0.012,-0.010,0.917,2.6,Auto,0,15.0,
51,198.2,0.006,-0.006,0.911,2.4,Auto,0,15.0,
52,197.5,-0.003,-0.016,0.901,2.4,Auto,0,15.0,
53,197.5,-0.003,-0.016,0.901,2.4,Auto,0,15.0,
54,197.1,0.000,-0.010,0.904,2.5,Auto,0,15.0,
55,197.1,0.000,-0.010,0.904,2.5,Auto,0,15.0,
56,197.4,0.002,-0.005,0.906,2.5,Auto,0,15.0,
57,197.4,0.002,-0.005,0.906,2.5,Auto,0,15.0,
58,199.8,-0.013,-0.001,0.907,2.6,Auto,0,15.0,
59,199.8,-0.013,-0.001,0.907,2.6,Auto,0,15.0,
60,202.8,-0.002,-0.002,0.914,2.6,Auto,0,15.0,
61,202.8,-0.002,-0.002,0.914,2.6,Auto,0,15.0,
62,202.9,-0.009,-0.015,0.916,2.7,Auto,0,15.0,
63,202.7,-0.012,-0.007,0.906,2.7,Auto,0,15.0,
64,203.4,0.001,-0.038,0.898,2.7,Auto,0,15.0,
65,203.4,0.001,-0.038,0.898,2.5,Auto,0,15.0,
66,205.5,0.006,-0.013,0.912,2.5,Auto,0,15.0,
67,207.8,-0.010,-0.011,0.924,2.5,Auto,0,15.0,
68,208.2,-0.008,-0.025,0.909,2.5,Auto,0,15.0,
69,208.9,-0.018,-0.013,0.915,2.8,Auto,0,15.0,
70,207.0,-0.012,-0.015,0.908,2.8,Auto,0,15.0,
71,207.0,-0.012,-0.015,0.908,2.8,Auto,0,15.0,
72,205.2,0.001,-0.009,0.914,2.8,Auto,0,15.0,
73,205.0,-0.006,-0.012,0.909,2.6,Auto,0,15.0,
74,206.1,-0.001,-0.006,0.906,2.6,Auto,0,15.0,
75,207.8,0.004,-0.004,0.907,2.6,Auto,0,15.0,
76,207.8,0.004,-0.004,0.907,2.6,Auto,0,15.0,
77,214.3,-0.008,-0.015,0.902,2.6,Auto,0,15.0,
78,215.5,0.000,0.003,0.903,2.6,Auto,0,15.0,
79,213.6,-0.025,-0.023,0.908,2.6,Auto,0,15.0,
80,213.6,-0.025,-0.023,0.908,2.5,Auto,0,15.0,
81,212.1,0.007,-0.007,0.913,2.5,Auto,0,15.0,
82,208.5,-0.007,-0.011,0.903,2.5,Auto,0,15.0,
83,208.8,0.005,-0.015,0.899,2.5,Auto,0,15.0,
84,208.8,0.005,-0.015,0.899,2.5,Auto,0,15.0,
85,211.3,-0.005,0.000,0.909,2.5,Auto,0,15.0,
86,213.8,0.005,-0.013,0.906,2.5,Auto,0,15.0,
87,216.8,0.011,-0.008,0.913,2.6,Auto,0,15.0,
88,216.8,0.011,-0.008,0.913,2.6,Auto,0,15.0,
89,217.8,-0.010,0.002,0.915,2.6,Auto,0,15.0,
90,221.5,-0.007,-0.015,0.917,2.6,Auto,0,15.0,
91,223.8,0.042,0.030,0.909,2.6,Auto,0,15.0,
92,223.8,0.042,0.030,0.909,2.6,Auto,0,15.0,
93,228.4,0.037,-0.020,0.914,2.6,Auto,0,15.0,
94,233.1,0.032,-0.035,0.910,2.6,Auto,0,15.0,
95,237.1,0.000,-0.028,0.913,2.6,Auto,0,15.0,
96,237.1,0.000,-0.028,0.913,2.6,Auto,0,15.0,
97,240.1,-0.021,-0.031,0.907,2.6,Auto,0,15.0,
