Date: 2023/12/11   16:15:30
Time,Grip Force(g),Acce.X (G),Acce.Y (G),Acce.Z (G),Height (cm),Mode,Trig,Assigned height(cm),
0,202.8,0.004,-0.001,0.912,1.9,Auto,0,15.0,
1,203.4,0.000,0.001,0.918,1.9,Auto,0,15.0,
2,203.5,0.008,0.014,0.924,1.9,Auto,0,15.0,
3,203.5,0.008,0.014,0.924,1.9,Auto,0,15.0,
4,203.8,0.020,0.018,0.907,2.0,Auto,0,15.0,
5,203.8,0.020,0.018,0.907,2.0,Auto,0,15.0,
6,204.9,0.021,0.009,0.902,2.0,Auto,0,15.0,
7,205.5,0.014,0.013,0.898,2.1,Auto,0,15.0,
8,206.5,0.005,0.006,0.920,2.1,Auto,0,15.0,
9,208.0,-0.001,-0.004,0.917,2.1,Auto,0,15.0,
10,208.0,-0.001,-0.004,0.917,2.1,Auto,0,15.0,
11,208.8,-0.008,-0.013,0.916,2.2,Auto,0,15.0,
12,209.7,-0.007,0.004,0.908,2.2,Auto,0,15.0,
13,210.4,-0.002,-0.002,0.921,2.2,Auto,0,15.0,
14,211.2,0.014,0.014,0.909,2.2,Auto,0,15.0,
15,211.2,0.014,0.014,0.909,2.1,Auto,0,15.0,
16,211.0,0.016,0.005,0.920,2.1,Auto,0,15.0,
17,211.2,0.005,0.008,0.910,2.1,Auto,0,15.0,
18,212.7,0.004,0.002,0.913,2.1,Auto,0,15.0,
19,212.7,0.004,0.002,0.913,2.1,Auto,0,15.0,
20,213.9,-0.004,-0.001,0.915,2.1,Auto,0,15.0,
21,214.7,0.008,0.017,0.897,2.1,Auto,0,15.0,
22,214.2,0.009,0.006,0.906,2.1,Auto,0,15.0,
23,214.2,0.009,0.006,0.906,2.1,Auto,0,15.0,
24,214.2,-0.001,-0.003,0.902,2.1,Auto,0,15.0,
25,214.0,-0.004,-0.004,0.927,2.1,Auto,0,15.0,
26,214.9,-0.013,-0.002,0.908,2.0,Auto,0,15.0,
27,214.9,-0.013,-0.002,0.908,2.0,Auto,0,15.0,
28,214.7,-0.003,-0.009,0.915,2.0,Auto,0,15.0,
29,214.5,-0.001,0.000,0.920,2.3,Auto,0,15.0,
30,214.2,0.011,-0.007,0.908,2.3,Auto,0,15.0,
31,214.2,0.011,-0.007,0.908,2.3,Auto,0,15.0,
32,214.0,0.000,-0.001,0.914,2.3,Auto,0,15.0,
33,213.2,0.003,0.011,0.918,2.2,Auto,0,15.0,
34,213.2,0.003,0.011,0.918,2.2,Auto,0,15.0,
35,213.2,0.003,0.011,0.918,2.2,Auto,0,15.0,
36,210.9,0.011,0.017,0.915,2.2,Auto,0,15.0,
37,210.3,0.008,0.007,0.912,2.2,Auto,0,15.0,
38,210.3,0.013,0.016,0.907,2.2,Auto,0,15.0,
39,210.3,0.008,0.007,0.905,2.2,Auto,0,15.0,
40,210.6,-0.002,0.007,0.910,2.0,Auto,0,15.0,
41,210.3,0.010,0.014,0.913,2.0,Auto,0,15.0,
42,210.3,0.010,0.014,0.913,2.0,Auto,0,15.0,
43,211.0,0.012,0.017,0.908,2.0,Auto,0,15.0,
44,211.0,0.012,0.017,0.908,1.9,Auto,0,15.0,
45,210.9,0.004,0.004,0.922,1.9,Auto,0,15.0,
46,210.9,0.004,0.004,0.922,1.9,Auto,0,15.0,
47,211.5,0.000,0.003,0.924,1.9,Auto,0,15.0,
48,211.3,0.003,-0.001,0.916,2.3,Auto,0,15.0,
49,212.1,0.000,0.012,0.909,2.3,Auto,0,15.0,
50,212.1,0.000,0.012,0.909,2.3,Auto,0,15.0,
51,211.5,0.012,0.008,0.912,2.0,Auto,0,15.0,
52,211.2,0.016,0.007,0.906,2.0,Auto,0,15.0,
53,211.7,0.008,0.002,0.907,2.0,Auto,0,15.0,
54,211.7,0.008,0.002,0.907,2.0,Auto,0,15.0,
55,212.8,0.009,0.010,0.913,2.1,Auto,0,15.0,
56,214.2,0.001,0.005,0.906,2.1,Auto,0,15.0,
57,214.8,0.002,0.006,0.905,2.1,Auto,0,15.0,
58,215.1,-0.001,-0.000,0.910,2.1,Auto,0,15.0,
59,215.5,-0.006,-0.006,0.906,2.2,Auto,0,15.0,
60,217.5,-0.002,-0.003,0.917,2.2,Auto,0,15.0,
61,219.0,0.004,0.001,0.909,2.2,Auto,0,15.0,
62,219.0,0.004,0.001,0.909,2.0,Auto,0,15.0,
63,223.5,0.006,0.005,0.915,2.0,Auto,0,15.0,
64,223.5,0.006,0.005,0.915,2.0,Auto,0,15.0,
65,224.4,0.004,0.007,0.911,2.0,Auto,0,15.0,
66,224.4,0.004,0.007,0.911,2.1,Auto,0,15.0,
67,225.4,-0.003,0.006,0.913,2.1,Auto,0,15.0,
68,228.4,0.009,0.020,0.901,2.1,Auto,0,15.0,
69,230.3,0.004,0.003,0.902,2.1,Auto,0,15.0,
70,231.6,0.012,0.028,0.911,1.9,Auto,0,15.0,
71,231.6,0.012,0.028,0.911,1.9,Auto,0,15.0,
72,239.8,0.007,0.001,0.918,1.9,Auto,0,15.0,
73,239.8,0.007,0.001,0.918,2.2,Auto,0,15.0,
74,242.8,0.013,0.008,0.914,2.2,Auto,0,15.0,
75,244.6,0.007,0.003,0.914,2.2,Auto,0,15.0,
76,251.4,0.005,0.010,0.921,2.2,Auto,0,15.0,
77,251.4,0.005,0.010,0.921,2.2,Auto,0,15.0,
78,258.3,0.011,0.007,0.923,2.2,Auto,0,15.0,
79,258.3,0.011,0.007,0.923,2.2,Auto,0,15.0,
80,264.9,0.006,0.000,0.920,2.2,Auto,0,15.0,
81,264.9,0.006,0.000,0.920,1.9,Auto,0,15.0,
82,267.6,0.002,0.009,0.920,1.9,Auto,0,15.0,
83,267.6,0.002,0.009,0.920,1.9,Auto,0,15.0,
84,271.9,0.019,-0.009,0.919,2.2,Auto,0,15.0,
85,271.9,0.019,-0.009,0.919,2.2,Auto,0,15.0,
86,270.4,-0.008,-0.010,0.919,2.2,Auto,0,15.0,
87,269.6,0.011,-0.008,0.911,2.2,Auto,0,15.0,
88,267.8,0.013,-0.003,0.915,2.0,Auto,0,15.0,
